come and see our new car
come and see our new car
FixStart
0.6 0.6
432 388.8
Began 1026.773 389 481 0.06712963 0.2391974
Stationary 1026.791 389 481 0.06712963 0.2391974
Stationary 1026.805 389 481 0.06712963 0.2391974
Stationary 1026.82 389 481 0.06712963 0.2391974
Stationary 1026.836 389 481 0.06712963 0.2391974
Stationary 1026.851 389 481 0.06712963 0.2391974
Moved 1026.867 378.8126 467.3544 0.04354775 0.2041007
Moved 1026.883 373.2844 460.1055 0.03075103 0.1854565
Moved 1026.898 369.2704 452.7231 0.02145926 0.1664689
Moved 1026.913 359.2558 432.5116 -0.001722674 0.1144845
Moved 1026.929 352.4917 416.7292 -0.01738032 0.07389201
Moved 1026.946 346.2115 401.4231 -0.03191769 0.03452438
Moved 1026.96 341.0269 383.1255 -0.04391924 -0.01253732
Moved 1026.974 335.2446 365.7338 -0.05730415 -0.05726896
Moved 1026.991 331.3739 352.2465 -0.06626403 -0.09195869
Moved 1027.006 329.0306 345.092 -0.07168835 -0.1103602
Moved 1027.021 327.5768 337.8837 -0.07505382 -0.1289
Moved 1027.036 327.1436 335.2871 -0.07605657 -0.1355785
Moved 1027.054 327 333.6894 -0.07638887 -0.1396879
Stationary 1027.068 327 333.6894 -0.07638887 -0.1396879
Stationary 1027.083 327 333.6894 -0.07638887 -0.1396879
Moved 1027.098 327 341.4446 -0.07638887 -0.1197412
Moved 1027.115 334.7679 352.2144 -0.05840753 -0.09204134
Moved 1027.13 347.2449 374.4897 -0.02952576 -0.03474867
Moved 1027.146 364.0733 399.5333 0.009429057 0.02966378
Moved 1027.161 392.3818 436.486 0.07495791 0.1247066
Moved 1027.176 416.4181 469.0363 0.1305975 0.2084267
Moved 1027.2 471.0167 530.9573 0.256983 0.3676883
Moved 1027.213 487 547.5 0.2939814 0.4102365
Stationary 1027.224 487 547.5 0.2939814 0.4102365
Moved 1027.236 502.6441 564.5311 0.3301946 0.4540407
Moved 1027.252 514.5976 577.9223 0.3578648 0.4884832
Moved 1027.268 521.5523 586.311 0.3739637 0.5100592
Moved 1027.284 527.7933 596.3884 0.3884105 0.5359782
Moved 1027.299 532.9251 603.5668 0.4002896 0.5544413
Moved 1027.314 537.2687 610.4479 0.4103443 0.5721396
Moved 1027.33 538.5 613 0.4131944 0.5787036
Moved 1027.346 542.2368 615.2368 0.4218443 0.5844566
Moved 1027.361 544.0518 617.0518 0.4260459 0.5891249
Moved 1027.377 545.4916 618.4916 0.4293786 0.592828
Moved 1027.392 546.9284 619 0.4327047 0.5941358
Moved 1027.406 548.3682 619 0.4360374 0.5941358
Moved 1027.422 548.8055 619 0.4370497 0.5941358
Moved 1027.437 550.2446 619 0.4403809 0.5941358
Stationary 1027.453 550.2446 619 0.4403809 0.5941358
Moved 1027.468 552.7623 608.4755 0.4462089 0.5670664
Moved 1027.484 554.1978 604.4067 0.4495319 0.5566016
Moved 1027.5 555.6254 599.4984 0.4528367 0.5439773
Moved 1027.515 557.064 590.5518 0.4561667 0.5209664
Moved 1027.529 557 577.5 0.4560185 0.487397
Moved 1027.547 557 556.8604 0.4560185 0.4343115
Moved 1027.562 557 536.2468 0.4560185 0.381293
Moved 1027.577 545.0962 502.7766 0.4284634 0.2952072
Moved 1027.593 539.3522 462.6904 0.4151671 0.1921049
Moved 1027.608 529.3922 412.9606 0.3921115 0.06419904
Moved 1027.624 515.8226 351.3028 0.3607004 -0.09438581
Moved 1027.639 502.8702 299.7175 0.3307181 -0.2270642
Moved 1027.654 499.9797 283.2452 0.324027 -0.269431
Moved 1027.67 496.5272 269.1087 0.3160352 -0.3057904
Moved 1027.685 493.5747 256.0863 0.3092008 -0.3392842
Moved 1027.7 492.3614 250.0842 0.3063922 -0.3547217
Moved 1027.715 489.8598 246.8599 0.3006015 -0.3630148
Moved 1027.731 488.5 244 0.2974537 -0.3703704
Moved 1027.747 486.1118 243.0559 0.2919255 -0.3727986
Moved 1027.762 484.6125 243 0.2884548 -0.3729424
Moved 1027.777 480.5 243 0.2789353 -0.3729424
Moved 1027.793 473.1848 251.7228 0.2620018 -0.3505072
Moved 1027.808 461.886 260.3354 0.2358473 -0.3283553
Moved 1027.824 448.5677 282.4916 0.2050178 -0.2713693
Moved 1027.838 434.2895 304.0657 0.1719665 -0.2158804
Moved 1027.854 419.546 336.9081 0.1378378 -0.1314093
Moved 1027.87 408.9542 361.5399 0.1133199 -0.068056
Moved 1027.885 399.5 384.5 0.09143522 -0.009002057
Moved 1027.902 390.4424 410.0621 0.07046859 0.05674413
Moved 1027.916 380.0658 440.6693 0.04644851 0.1354663
Moved 1027.932 367.1323 471.4523 0.01650999 0.2146405
Moved 1027.947 350.9532 505.0936 -0.0209417 0.3011666
Moved 1027.962 339.514 530.8435 -0.04742125 0.3673957
Moved 1027.978 331.5565 548.7756 -0.06584133 0.4135173
Moved 1027.995 323.0942 564.494 -0.08543014 0.4539454
Moved 1028.009 321.1469 568.7061 -0.08993764 0.4647791
Moved 1028.023 313.7033 582.5933 -0.1071682 0.5004971
Moved 1028.038 309.2101 591.5798 -0.1175692 0.5236104
Moved 1028.054 303.8969 599.5052 -0.1298684 0.5439948
Moved 1028.07 299.5709 606.7151 -0.1398822 0.5625389
Moved 1028.084 296.8606 612.8486 -0.1461561 0.5783142
Moved 1028.102 293.9787 620.0533 -0.1528271 0.5968449
Moved 1028.116 292.9123 624.3508 -0.1552956 0.6078981
Moved 1028.132 291.4421 629.6736 -0.1586988 0.6215885
Moved 1028.147 290.0065 634.9739 -0.1620219 0.6352209
Moved 1028.162 290 640.7324 -0.162037 0.6500316
Ended 1028.179 288 649 -0.1666667 0.6712963
Candidates 1028.299 12 come convert convey concert combat concrete bone cover number cindy counter some
Began 1028.606 459 403 0.2291666 0.03858017
Stationary 1028.626 459 403 0.2291666 0.03858017
Stationary 1028.646 459 403 0.2291666 0.03858017
Stationary 1028.656 459 403 0.2291666 0.03858017
Stationary 1028.67 459 403 0.2291666 0.03858017
Moved 1028.686 450.024 436.8323 0.2083887 0.1255975
Moved 1028.703 447.1754 458.1845 0.2017949 0.1805156
Moved 1028.718 443.0953 513.9351 0.1923503 0.3239071
Ended 1028.733 434 579 0.1712963 0.4912551
Accept 1028.762 0 come
Began 1029.007 429 426 0.1597223 0.09773654
Stationary 1029.027 429 426 0.1597223 0.09773654
Stationary 1029.042 429 426 0.1597223 0.09773654
Moved 1029.057 407.8972 426 0.1108731 0.09773654
Moved 1029.072 397.6292 426 0.08710454 0.09773654
Moved 1029.086 376.4892 426 0.03816942 0.09773654
Moved 1029.103 330.3261 431.826 -0.06868948 0.1127213
Moved 1029.119 285.1001 435.7897 -0.1733795 0.1229159
Moved 1029.135 231.0589 441.257 -0.2984749 0.1369777
Moved 1029.15 217.2862 443.4919 -0.3303559 0.1427261
Moved 1029.166 200.9258 446.3457 -0.3682273 0.150066
Moved 1029.181 192.3104 449.2299 -0.3881703 0.1574841
Moved 1029.197 185.7915 451.0521 -0.4032603 0.1621711
Moved 1029.212 180.0305 453.9847 -0.4165961 0.1697138
Moved 1029.226 177.6041 454.698 -0.4222128 0.1715482
Moved 1029.243 174.915 456.0425 -0.4284375 0.1750063
Moved 1029.258 173.5301 457.4699 -0.4316432 0.1786777
Moved 1029.273 173 458.8982 -0.4328704 0.1823513
Stationary 1029.288 173 459 -0.4328704 0.1826131
Stationary 1029.304 173 459 -0.4328704 0.1826131
Moved 1029.319 173 460.2247 -0.4328704 0.1857631
Moved 1029.334 183.5 461.5 -0.4085648 0.1890431
Moved 1029.352 208.8145 463 -0.3499663 0.1929011
Moved 1029.366 248.7506 463 -0.2575218 0.1929011
Moved 1029.38 296.0653 444.1826 -0.1479969 0.1445024
Moved 1029.398 333.9766 433.7266 -0.06023943 0.1176094
Moved 1029.411 378.7372 419.2461 0.04337301 0.08036538
Moved 1029.427 417.74 396.13 0.1336574 0.02091043
Moved 1029.443 439.04 385.48 0.1829629 -0.006481414
Moved 1029.459 456.8383 372.4671 0.2241627 -0.03995087
Moved 1029.474 477.4069 358.1029 0.2717752 -0.07689582
Moved 1029.49 492.1483 345.1666 0.3058988 -0.1101684
Moved 1029.504 500.5101 338.2416 0.3252548 -0.1279793
Moved 1029.52 509.1224 329.8776 0.3451908 -0.1494918
Moved 1029.535 515.4653 324.151 0.3598734 -0.1642208
Moved 1029.55 520.1697 319.8303 0.3707632 -0.1753336
Moved 1029.566 523.2833 316.7167 0.3779706 -0.1833419
Moved 1029.582 525.5751 314.4249 0.3832757 -0.1892364
Moved 1029.605 529.4554 310.5446 0.392258 -0.1992168
Stationary 1029.615 529.4554 310.5446 0.392258 -0.1992168
Moved 1029.627 529.8958 309.1042 0.3932773 -0.2029214
Moved 1029.643 530 306.3284 0.3935185 -0.2100607
Moved 1029.658 530 306.2269 0.3935185 -0.2103218
Moved 1029.674 530 305.0682 0.3935185 -0.2133021
Moved 1029.689 530 302.3049 0.3935185 -0.2204093
Moved 1029.704 524.5102 302 0.3808106 -0.2211935
Moved 1029.72 518.0931 302 0.3659562 -0.2211935
Moved 1029.735 508.6242 302 0.3440376 -0.2211935
Moved 1029.75 495.9938 310.8944 0.3148004 -0.1983169
Moved 1029.766 476.2398 323.0701 0.2690737 -0.1670007
Moved 1029.783 457.4012 338.8605 0.2254656 -0.1263877
Moved 1029.798 436.6509 357.1804 0.1774327 -0.07926854
Moved 1029.813 417 378.5 0.1319444 -0.02443423
Moved 1029.828 403.2635 395.6838 0.100147 0.01976276
Moved 1029.845 390.4161 411.3802 0.07040769 0.06013427
Moved 1029.859 378.5952 425.9262 0.04304449 0.09754675
Moved 1029.874 366.6407 443.5389 0.01537214 0.1428469
Moved 1029.89 358.5 453.5 -0.003472219 0.168467
