exercise is good for the mind
exercise is good for the mind
FixStart
0.6 0.6
432 388.8
Began 1251.835 413 419 0.1226852 0.07973251
Stationary 1251.854 413 419 0.1226852 0.07973251
Stationary 1251.869 413 419 0.1226852 0.07973251
Stationary 1251.884 413 419 0.1226852 0.07973251
Stationary 1251.899 413 419 0.1226852 0.07973251
Stationary 1251.914 413 419 0.1226852 0.07973251
Moved 1251.93 401.556 419 0.09619435 0.07973251
Moved 1251.946 396.1335 419 0.08364249 0.07973251
Moved 1251.96 385.3916 440.1693 0.05877674 0.1341802
Moved 1251.976 371.9701 456.0365 0.02770861 0.1749909
Moved 1251.994 356.3149 471.6851 -0.008530219 0.2152393
Moved 1252.008 346.1492 487.4677 -0.03206199 0.2558326
Moved 1252.023 335.7433 503.5462 -0.05614966 0.2971867
Moved 1252.038 326.7516 512.9982 -0.07696391 0.3214973
Moved 1252.054 315.5415 525.6408 -0.1029133 0.3540143
Moved 1252.069 309.527 532.7185 -0.1168357 0.3722183
Moved 1252.084 301.9667 540.0333 -0.1343364 0.3910322
Moved 1252.1 297.4189 544.5811 -0.1448636 0.402729
Moved 1252.115 294.734 547.266 -0.1510787 0.4096347
Moved 1252.131 291.8565 549.0717 -0.1577395 0.414279
Moved 1252.15 290.5 550.5 -0.1608796 0.4179526
Moved 1252.161 290 551 -0.162037 0.4192385
Moved 1252.177 288.9633 551 -0.1644368 0.4192385
Stationary 1252.193 289 551 -0.1643519 0.4192385
Stationary 1252.208 289 551 -0.1643519 0.4192385
Moved 1252.222 289 530.5536 -0.1643519 0.3666503
Moved 1252.239 298.5453 483.6284 -0.1422561 0.2459578
Moved 1252.255 305.1905 430.9877 -0.1268738 0.1105651
Moved 1252.269 312.6915 395.2808 -0.1095104 0.0187262
Moved 1252.284 318.3222 367.3892 -0.09647643 -0.0530115
Moved 1252.299 329.0481 332.5996 -0.07164786 -0.1424908
Moved 1252.316 336.4665 312.9872 -0.05447576 -0.192934
Moved 1252.331 342.5338 296.5321 -0.04043107 -0.235257
Moved 1252.348 345.1472 290.7055 -0.03438135 -0.2502431
Moved 1252.362 346 285.9586 -0.03240739 -0.2624522
Moved 1252.377 347.4539 284.5461 -0.02904187 -0.2660852
Moved 1252.395 347 284 -0.0300926 -0.2674897
Stationary 1252.41 347 284 -0.0300926 -0.2674897
Moved 1252.423 335.9617 296.2648 -0.05564426 -0.2359443
Moved 1252.438 326.9724 321.4474 -0.07645269 -0.1711745
Moved 1252.454 320.68 343.95 -0.09101848 -0.1132974
Moved 1252.47 315.7106 373.4996 -0.1025218 -0.03729526
Moved 1252.485 313.8055 395.917 -0.1069316 0.02036252
Moved 1252.5 312.5 414 -0.1099537 0.06687239
