healthy food is good for you
healthy food is good for you
Basic
0.6 0.6
432 388.8
Began 1852.067 432 399 0.1666667 0.02829214
Stationary 1852.088 432 399 0.1666667 0.02829214
Stationary 1852.102 432 399 0.1666667 0.02829214
Stationary 1852.116 432 399 0.1666667 0.02829214
Stationary 1852.131 432 399 0.1666667 0.02829214
Stationary 1852.147 432 399 0.1666667 0.02829214
Stationary 1852.163 432 399 0.1666667 0.02829214
Stationary 1852.177 432 399 0.1666667 0.02829214
Stationary 1852.192 432 399 0.1666667 0.02829214
Stationary 1852.208 432 399 0.1666667 0.02829214
Stationary 1852.223 432 399 0.1666667 0.02829214
Stationary 1852.238 432 399 0.1666667 0.02829214
Stationary 1852.257 432 399 0.1666667 0.02829214
Moved 1852.27 432 389.4627 0.1666667 0.003762029
Moved 1852.286 432 388.3038 0.1666667 0.0007814242
Moved 1852.304 432 386.9228 0.1666667 -0.002770679
Moved 1852.317 432 385.5392 0.1666667 -0.00632914
Stationary 1852.333 432 385.5392 0.1666667 -0.00632914
Moved 1852.349 432 383.799 0.1666667 -0.01080509
Moved 1852.364 432 382.5 0.1666667 -0.01414617
Moved 1852.379 432 382.3283 0.1666667 -0.01458776
Moved 1852.394 432 380.9448 0.1666667 -0.01814626
Stationary 1852.41 432 380.9448 0.1666667 -0.01814626
Moved 1852.426 432 379.6409 0.1666667 -0.02149982
Moved 1852.441 423.1399 380 0.1461571 -0.02057613
Moved 1852.457 420.799 380 0.1407385 -0.02057613
Moved 1852.471 417.0396 380 0.1320362 -0.02057613
Moved 1852.487 413.9125 380 0.1247974 -0.02057613
Moved 1852.503 405.5806 380 0.1055106 -0.02057613
Moved 1852.518 401.8241 392.1759 0.09681503 0.01074041
Moved 1852.533 395.1528 398.8472 0.08137227 0.02789897
Moved 1852.551 387.6946 407.3054 0.06410787 0.04965366
Moved 1852.564 378.5295 420.1679 0.0428924 0.08273634
Moved 1852.579 366.2986 436.6019 0.01457999 0.1250049
Moved 1852.594 355.5 451 -0.01041666 0.162037
Moved 1852.611 340.8192 474.1242 -0.04439989 0.2215128
Moved 1852.626 326.2076 496.1886 -0.0782231 0.2782627
Moved 1852.641 316.8117 506.6438 -0.09997299 0.3051537
Moved 1852.655 304.1602 520.6741 -0.1292588 0.3412398
Moved 1852.671 295.7383 530.4719 -0.1487538 0.3664401
Moved 1852.688 288.6593 538.3407 -0.1651405 0.3866786
Moved 1852.704 284.1131 542.8869 -0.1756641 0.3983715
Moved 1852.719 281.9619 546.0571 -0.1806437 0.4065254
Moved 1852.734 278.7093 550.2907 -0.188173 0.4174142
Moved 1852.752 277.5 553 -0.1909722 0.4243826
Moved 1852.765 276.7828 553.2172 -0.1926324 0.4249412
Moved 1852.781 275.7184 554 -0.1950963 0.4269547
Moved 1852.798 275.3442 555 -0.1959625 0.4295266
Stationary 1852.812 275 555 -0.1967592 0.4295266
Moved 1852.827 273.9482 555 -0.199194 0.4295266
Moved 1852.841 272.543 555 -0.2024468 0.4295266
Moved 1852.857 271.8525 555 -0.2040452 0.4295266
Moved 1852.874 265.0999 541.8748 -0.2196762 0.3957684
Moved 1852.888 251.4311 521.6396 -0.2513169 0.3437232
Moved 1852.904 243.904 512.0596 -0.2687407 0.3190833
Moved 1852.918 223.3564 482.2634 -0.3163045 0.2424468
Moved 1852.934 217.5124 474.3499 -0.3298325 0.2220932
Moved 1852.951 211.3283 463.8805 -0.3441475 0.1951658
Moved 1852.965 199.9432 447.5205 -0.3705018 0.1530877
Moved 1852.98 197.4062 441.2185 -0.3763746 0.1368788
Moved 1852.995 196.7163 439.149 -0.3779715 0.131556
Moved 1853.012 196 436.6493 -0.3796296 0.1251267
Moved 1853.027 196 435.9594 -0.3796296 0.1233523
Moved 1853.043 203.8506 433.8785 -0.361457 0.1180002
Moved 1853.059 223.4298 431.73 -0.3161348 0.1124743
Moved 1853.073 277.928 426.1887 -0.1899815 0.09822197
