the price of gas is high
the price of gas is high
Basic
0.6 0.6
432 388.8
Began 893.1686 364 456 0.009259283 0.174897
Stationary 893.1886 364 456 0.009259283 0.174897
Stationary 893.2028 364 456 0.009259283 0.174897
Stationary 893.218 364 456 0.009259283 0.174897
Stationary 893.233 364 456 0.009259283 0.174897
Stationary 893.2489 364 456 0.009259283 0.174897
Stationary 893.2648 364 456 0.009259283 0.174897
Moved 893.2791 353.5347 467.4653 -0.01496588 0.2043859
Moved 893.2975 350.8418 471.2372 -0.02119949 0.2140875
Moved 893.3132 346.433 477.0893 -0.03140504 0.2291391
Moved 893.3275 342.1207 484.7586 -0.04138728 0.2488646
Moved 893.3433 339.2163 490.5674 -0.04811049 0.2638051
Moved 893.358 336.3046 497.3908 -0.05485048 0.2813549
Moved 893.3729 333.4372 503.1257 -0.06148805 0.2961051
Moved 893.3885 331 508 -0.06712963 0.3086419
Moved 893.4043 330.1922 511.4233 -0.06899948 0.3174466
Moved 893.4203 328.7632 515.7105 -0.07230753 0.3284735
Moved 893.4352 327.3229 518.6771 -0.07564142 0.3361035
Moved 893.4508 325.8836 521.2328 -0.07897323 0.342677
Moved 893.4675 325.4448 523.5552 -0.07998899 0.3486502
Moved 893.4821 325 525.9877 -0.08101851 0.3549066
Moved 893.4964 325 527.43 -0.08101851 0.3586161
Moved 893.5117 325 528.5693 -0.08101851 0.3615465
Moved 893.5287 325 530.0095 -0.08101851 0.3652508
Moved 893.5422 325 531.4374 -0.08101851 0.3689234
Stationary 893.557 325 531.4374 -0.08101851 0.3689234
Moved 893.5748 325 532.3734 -0.08101851 0.3713308
Stationary 893.5898 325 532.3734 -0.08101851 0.3713308
Stationary 893.605 325 532.3734 -0.08101851 0.3713308
Stationary 893.6199 325 532.3734 -0.08101851 0.3713308
Moved 893.6351 331.7014 532 -0.0655061 0.3703703
Moved 893.6553 344.8037 513.9938 -0.03517653 0.3240579
Moved 893.6672 360.8627 492.394 0.001996954 0.268503
Moved 893.6813 375.7608 468.7827 0.0364834 0.2077742
Moved 893.6974 390 437 0.06944448 0.1260288
Moved 893.7128 396.7634 415.7571 0.08510053 0.07139155
Moved 893.7289 400.0489 399.7554 0.09270578 0.03023508
Moved 893.7437 404.3752 382.4994 0.1027203 -0.01414766
Moved 893.7586 404.8998 370.9019 0.1039347 -0.04397671
Moved 893.7756 405 364.7002 0.1041667 -0.05992747
Moved 893.7895 405 358.7021 0.1041667 -0.07535455
Moved 893.8058 405 356.7939 0.1041667 -0.08026256
Moved 893.8215 405 355.3556 0.1041667 -0.08396203
Moved 893.8358 399.2373 354.1768 0.09082714 -0.08699401
Moved 893.8513 396.8027 354 0.08519143 -0.08744855
Moved 893.8659 392.4434 354 0.07510036 -0.08744855
Moved 893.8812 386.658 354 0.06170829 -0.08744855
Moved 893.897 379.5 354 0.0451389 -0.08744855
Moved 893.9133 364.9038 375.0962 0.01135141 -0.03318881
Moved 893.9286 350.4238 390.9338 -0.02216712 0.0075458
Moved 893.9435 339 403.5 -0.04861111 0.03986618
Moved 893.9597 319.759 426.5814 -0.09315044 0.0992318
Moved 893.9756 305.9918 445.0109 -0.1250189 0.146633
Moved 893.991 292.1015 462.1981 -0.1571725 0.1908385
Moved 894.0065 276.7495 484.2734 -0.1927094 0.2476166
Moved 894.0226 263.4956 504.0783 -0.2233898 0.2985552
Moved 894.0362 250.2352 525.2237 -0.2540852 0.3529415
Moved 894.0516 240.5 548 -0.2766204 0.4115225
Ended 894.0694 236 571 -0.287037 0.4706789
Candidates 894.173 12 the there threw rubber where trigger urge huge other tiger tube higher
Began 894.4519 368 385 0.01851857 -0.007716127
Stationary 894.4691 368 385 0.01851857 -0.007716127
