please provide your date of birth
please provide your date of birth
Basic
0.6 0.6
432 388.8
Began 638.8077 599 498 0.5532407 0.2829217
Stationary 638.8226 599 498 0.5532407 0.2829217
Stationary 638.8376 599 498 0.5532407 0.2829217
Stationary 638.853 599 498 0.5532407 0.2829217
Stationary 638.8694 599 498 0.5532407 0.2829217
Stationary 638.8846 599 498 0.5532407 0.2829217
Stationary 638.8995 599 498 0.5532407 0.2829217
Stationary 638.916 599 498 0.5532407 0.2829217
Stationary 638.9311 599 498 0.5532407 0.2829217
Stationary 638.9478 599 498 0.5532407 0.2829217
Stationary 638.9609 599 498 0.5532407 0.2829217
Stationary 638.9771 599 498 0.5532407 0.2829217
Stationary 638.9924 599 498 0.5532407 0.2829217
Stationary 639.008 599 498 0.5532407 0.2829217
Moved 639.0219 586.444 475.9239 0.5241759 0.2261416
Moved 639.0398 583.0909 466.2425 0.5164143 0.2012409
Moved 639.0561 578.8091 445.0458 0.5065027 0.1467226
Moved 639.0696 576.4869 428.5969 0.5011271 0.1044158
Moved 639.0845 574.719 417.033 0.4970347 0.07467329
Moved 639.1005 572.2797 404.9575 0.4913881 0.04361494
Moved 639.1159 570.839 394.873 0.4880533 0.01767755
Moved 639.1306 569.4016 386.8111 0.484726 -0.003057919
Moved 639.1484 569 378.6936 0.4837963 -0.0239362
Moved 639.1627 566.7844 369.2453 0.4786675 -0.04823747
Moved 639.1766 564.8952 362.238 0.4742945 -0.06626019
Moved 639.194 562.9975 355.9901 0.4699017 -0.08233003
Moved 639.2076 558.6687 350.2249 0.4598812 -0.09715822
Moved 639.2239 556.2237 346.3355 0.4542215 -0.1071617
Moved 639.2388 550.6821 342.0115 0.4413936 -0.1182832
Moved 639.2558 544.5 338.5 0.4270834 -0.127315
Moved 639.2704 526.4839 337 0.3853795 -0.1311728
Moved 639.2854 510.4329 337 0.3482242 -0.1311728
Moved 639.3005 494.0983 343.0934 0.3104127 -0.1155006
Moved 639.3166 474.166 353.417 0.2642732 -0.08894822
Moved 639.331 453.2815 363.5353 0.2159294 -0.06292374
Moved 639.347 430.735 376.7906 0.1637384 -0.02883087
Moved 639.3619 405 397 0.1041667 0.02314815
Moved 639.3779 391.3604 407.7883 0.07259339 0.05089571
Moved 639.3935 374.3916 423.6083 0.03331393 0.09158511
Moved 639.41 358.0615 439.4446 -0.004487286 0.1323164
Moved 639.4243 346.3966 450.6034 -0.03148928 0.1610169
Moved 639.4395 336.3031 460.6969 -0.05485395 0.1869776
Moved 639.4553 328.936 467.064 -0.07190734 0.2033538
Moved 639.4702 322.9676 473.0324 -0.08572315 0.2187047
Moved 639.486 320.0899 477.2134 -0.09238442 0.2294581
Moved 639.5012 317.3313 484.1717 -0.09877007 0.247355
Moved 639.5162 314.3477 488.9785 -0.1056766 0.2597182
Moved 639.5319 312.2316 494.3052 -0.110575 0.2734187
Moved 639.548 310.7881 497.4239 -0.1139165 0.28144
Moved 639.5627 309 500.6519 -0.1180555 0.2897425
Moved 639.5781 306.8166 503.1834 -0.1231098 0.2962535
Moved 639.5951 307 504.1503 -0.1226852 0.2987404
Moved 639.6095 305.3595 505.6405 -0.1264827 0.3025732
Moved 639.6249 303.9166 506 -0.1298226 0.3034978
Moved 639.6412 302.4738 507 -0.1331626 0.3060699
Moved 639.6558 300.0674 507 -0.138733 0.3060699
Moved 639.6706 295.7727 507 -0.1486744 0.3060699
Moved 639.6852 288.7669 507 -0.1648915 0.3060699
Moved 639.7026 282.3367 499.4489 -0.1797761 0.2866484
Moved 639.7171 264.0863 486.5982 -0.2220224 0.2535961
Moved 639.7313 250.0369 472.8517 -0.2545442 0.21824
Moved 639.7475 234.2053 457.2053 -0.2911914 0.1779971
Moved 639.763 219.7111 441.7111 -0.3247428 0.1381458
Moved 639.7787 205.5994 425.3193 -0.3574087 0.09598586
Moved 639.7942 195.088 412.3408 -0.3817407 0.06260491
Moved 639.8097 186.8552 401.319 -0.4007981 0.03425676
Moved 639.826 180.4349 392.1523 -0.41566 0.01067974
Moved 639.8398 174.6532 384.0665 -0.4290435 -0.01011715
Moved 639.8556 169.9042 376.8403 -0.4400367 -0.028703
Moved 639.8713 167.0589 371.1178 -0.4466229 -0.04342138
Moved 639.8865 165.0904 368.1808 -0.4511796 -0.05097542
Moved 639.9017 163.648 365.2961 -0.4545184 -0.05839485
Moved 639.9171 162.5 363 -0.4571759 -0.06430049
Moved 639.9313 161.5 362.5 -0.4594907 -0.06558649
Moved 639.9483 162 361.8433 -0.4583334 -0.06727564
Moved 639.9632 160.5 360.5 -0.4618056 -0.07073053
Stationary 639.9832 160.5 360.5 -0.4618056 -0.07073053
Moved 639.9944 161 361 -0.4606481 -0.06944452
Stationary 640.0089 161 361 -0.4606481 -0.06944452
Stationary 640.024 161 361 -0.4606481 -0.06944452
Moved 640.0406 172.3312 366.9961 -0.4344186 -0.05402246
Moved 640.0564 179.5153 376.6184 -0.4177886 -0.02927364
Moved 640.0713 188.2775 387.9162 -0.3975059 -0.0002156167
Moved 640.0861 196.9342 399.9122 -0.3774672 0.03063834
Moved 640.1018 211.2789 417.1348 -0.3442617 0.07493505
Moved 640.118 218.9526 433.167 -0.3264987 0.1161702
Moved 640.1324 226.5782 445.5251 -0.3088467 0.1479555
Moved 640.1487 231.5867 456.1733 -0.2972531 0.1753428
Moved 640.1637 238.5826 473.887 -0.2810588 0.2209028
Moved 640.178 245.5357 488.0714 -0.2649637 0.2573852
Moved 640.194 250.0047 500.5118 -0.2546187 0.2893821
Moved 640.2095 253.3772 510.1315 -0.2468122 0.314124
Moved 640.225 258.2039 520.0096 -0.2356392 0.3395309
Moved 640.2404 261.0924 528.2772 -0.2289528 0.3607951
Moved 640.2565 264.2203 534.4406 -0.2217122 0.3766476
Moved 640.2721 266.5465 539.6395 -0.2163276 0.3900191
Moved 640.2869 268.0107 544.0321 -0.2129382 0.401317
