are you sure you want this
are you sure you want this
FixStart
0.6 0.6
432 388.8
Began 433.4412 506 479 0.337963 0.2340534
Stationary 433.4624 506 479 0.337963 0.2340534
Stationary 433.4763 506 479 0.337963 0.2340534
Stationary 433.4915 506 479 0.337963 0.2340534
Moved 433.507 490.6735 479 0.302485 0.2340534
Moved 433.5223 475.8881 479 0.2682595 0.2340534
Moved 433.5382 459.077 479 0.2293449 0.2340534
Moved 433.5544 439.9306 479 0.1850246 0.2340534
Moved 433.5681 417.6377 479 0.1334206 0.2340534
Moved 433.5833 392.8607 469.6125 0.07606655 0.2099086
Moved 433.5992 378.395 470.2829 0.04258096 0.2116329
Moved 433.614 362.9759 470 0.006888608 0.2109053
Moved 433.6304 349.2681 470 -0.02484242 0.2109053
Moved 433.647 339.8985 469 -0.0465313 0.2083333
Moved 433.6622 330.3901 469 -0.06854137 0.2083333
Moved 433.6764 327.1306 469 -0.07608653 0.2083333
Moved 433.6916 322.3387 469 -0.08717889 0.2083333
Moved 433.7076 318.9173 469 -0.09509876 0.2083333
Moved 433.7228 316.1574 469 -0.1014875 0.2083333
Moved 433.7377 315.2012 469 -0.103701 0.2083333
Moved 433.7552 313.8251 469 -0.1068864 0.2083333
Stationary 433.7712 313.8251 469 -0.1068864 0.2083333
Stationary 433.7862 313.8251 469 -0.1068864 0.2083333
Stationary 433.799 313.8251 469 -0.1068864 0.2083333
Moved 433.8149 314 478.4332 -0.1064815 0.2325955
Moved 433.8307 320.5882 482.196 -0.09123097 0.2422737
Moved 433.8469 330.852 489.7303 -0.06747216 0.2616519
Moved 433.8617 341.9713 497.9785 -0.04173313 0.2828663
Moved 433.8782 358.5478 509.1529 -0.003361503 0.3116072
Moved 433.8943 372.6003 517.5602 0.02916743 0.3332309
Moved 433.9083 381.3007 523.5338 0.04930715 0.3485951
Moved 433.9227 397.1113 533.0742 0.08590589 0.3731332
Moved 433.9392 409.5711 542.4442 0.1147479 0.3972328
Moved 433.9537 424.1643 553.7123 0.1485285 0.4262146
Moved 433.9694 434.7141 562.0356 0.1729493 0.4476223
Moved 433.9854 443.3342 569.1118 0.1929033 0.4658225
Moved 434.0005 451.5865 576.5865 0.2120058 0.4850475
Moved 434.0154 457.6697 582.6697 0.2260874 0.5006937
Moved 434.0308 464.1254 589.1254 0.2410309 0.5172977
Moved 434.0469 468.2379 594.6505 0.2505507 0.5315084
Moved 434.0629 473.3948 599.1931 0.262488 0.5431921
Moved 434.0773 477.5537 603.5537 0.2721151 0.5544075
Moved 434.0936 480.1352 607.7028 0.2780908 0.5650792
Moved 434.1096 481.9512 610.9023 0.2822944 0.5733083
Moved 434.1237 483.3311 612.3311 0.2854887 0.5769832
Moved 434.1397 483 613.3295 0.2847222 0.579551
Moved 434.1546 483 614.8038 0.2847222 0.5833429
Moved 434.1704 483 615.5 0.2847222 0.5851336
Moved 434.1843 483 616 0.2847222 0.5864196
Moved 434.202 483 616.9677 0.2847222 0.5889086
Moved 434.2156 470.8722 617 0.2566485 0.5889916
Moved 434.2308 465.3125 617 0.243779 0.5889916
Moved 434.2484 458.0329 617 0.2269281 0.5889916
Moved 434.2626 446.3813 617 0.1999568 0.5889916
Moved 434.2778 437.1056 607.8873 0.1784851 0.5655538
Moved 434.2932 426.6019 604.2257 0.154171 0.556136
Moved 434.315 405.8316 597.6105 0.1060917 0.5391217
Stationary 434.3252 405.8316 597.6105 0.1060917 0.5391217
Moved 434.3385 396.4199 594.8342 0.08430531 0.5319809
Moved 434.354 389.669 592.0676 0.06867825 0.5248652
Moved 434.3701 385.166 591.6332 0.0582547 0.5237479
Moved 434.3856 380.3745 590.1248 0.04716327 0.5198683
Moved 434.4012 377.4632 588.7316 0.04042417 0.5162849
Moved 434.4162 376.3502 589 0.03784756 0.5169753
Ended 434.4318 376 589 0.03703703 0.5169753
Candidates 434.6294 12 are date gate fate at ate faster after art data hate dare
Began 435.015 463 417 0.2384259 0.0745884
Stationary 435.0327 463 417 0.2384259 0.0745884
Stationary 435.0497 463 417 0.2384259 0.0745884
Stationary 435.062 463 417 0.2384259 0.0745884
Stationary 435.0777 463 417 0.2384259 0.0745884
Moved 435.0932 463 432.4351 0.2384259 0.1142877
Moved 435.1094 463 446.5734 0.2384259 0.1506516
Moved 435.1246 463 461.9946 0.2384259 0.1903153
Moved 435.1408 463 474.2199 0.2384259 0.2217589
