a picture is worth many words
a picture is worth many words
Basic
0.6 0.6
432 388.8
Began 1275.549 126 416 -0.5416667 0.07201634
Stationary 1275.57 126 416 -0.5416667 0.07201634
Stationary 1275.584 126 416 -0.5416667 0.07201634
Ended 1275.598 126 416 -0.5416667 0.07201634
Candidates 1275.661 3 a s q
Began 1276.085 365 284 0.01157403 -0.2674897
Stationary 1276.097 365 284 0.01157403 -0.2674897
Stationary 1276.108 365 284 0.01157403 -0.2674897
Stationary 1276.123 365 284 0.01157403 -0.2674897
Moved 1276.138 365 300.8233 0.01157403 -0.22422
Moved 1276.154 365 309.4961 0.01157403 -0.2019135
Moved 1276.17 365 324.5815 0.01157403 -0.1631134
Moved 1276.184 365 337.4849 0.01157403 -0.1299258
Moved 1276.2 365 344 0.01157403 -0.1131688
Moved 1276.216 370.5878 353.5878 0.02450874 -0.0885089
Moved 1276.233 373.2355 361.1777 0.03063778 -0.0689873
Moved 1276.246 375.6729 366.0187 0.03627986 -0.0565364
Moved 1276.262 376 369.2204 0.03703703 -0.04830152
Ended 1276.279 376 372 0.03703703 -0.04115226
Accept 1276.303 0 a
Began 1276.859 553 426 0.4467593 0.09773654
Stationary 1276.88 553 426 0.4467593 0.09773654
Stationary 1276.894 553 426 0.4467593 0.09773654
Stationary 1276.909 553 426 0.4467593 0.09773654
Stationary 1276.925 553 426 0.4467593 0.09773654
Moved 1276.939 553 437.0591 0.4467593 0.1261808
Moved 1276.955 553 440.6425 0.4467593 0.1353973
Moved 1276.972 553 444.2775 0.4467593 0.1447465
Moved 1276.986 545.0964 448.3873 0.428464 0.155317
Moved 1277.002 540.7529 452.6853 0.4184096 0.1663717
Moved 1277.017 533.9546 456.0182 0.4026726 0.1749438
Moved 1277.032 527.238 459.4405 0.3871251 0.1837461
Moved 1277.047 518.8165 462.6501 0.3676307 0.1920012
Moved 1277.062 508.7432 464.3224 0.3443129 0.1963024
Moved 1277.081 502 465.5 0.3287037 0.1993312
Moved 1277.094 491.9337 466 0.3054021 0.2006171
Moved 1277.109 483.1232 466 0.2850074 0.2006171
Moved 1277.126 477.2618 467 0.2714394 0.2031892
Moved 1277.141 470.003 467 0.2546365 0.2031892
Moved 1277.156 465.4661 467 0.2441345 0.2031892
Moved 1277.171 458.6129 467 0.2282707 0.2031892
Moved 1277.186 454.5 467 0.21875 0.2031892
Moved 1277.202 448.0689 462.8965 0.2038632 0.192635
Moved 1277.217 439.843 456.9214 0.1848217 0.177267
Moved 1277.233 431.2108 452.6054 0.1648397 0.1661661
Moved 1277.248 417.9579 441.7664 0.1341619 0.1382879
Moved 1277.264 400.8448 423.4985 0.09454816 0.09130273
Moved 1277.279 376.2468 393.8555 0.03760834 0.0150604
Moved 1277.294 355.8285 365.4694 -0.009656201 -0.05794925
Moved 1277.309 345.1277 349.8222 -0.0344265 -0.09819399
Moved 1277.325 328.0685 319.7233 -0.07391547 -0.1756088
Moved 1277.341 317.3318 299.9018 -0.09876907 -0.22659
Moved 1277.356 307.9456 278.8641 -0.1204963 -0.2806996
Moved 1277.371 299.2944 261.7065 -0.1405221 -0.3248291
Moved 1277.387 293.7986 248.597 -0.1532441 -0.3585468
Moved 1277.402 290.0219 237.0875 -0.1619864 -0.3881494
Moved 1277.418 286.8212 231.702 -0.1693954 -0.402001
Moved 1277.432 284 223 -0.1759259 -0.4243828
Moved 1277.448 282.0336 220.0673 -0.1804778 -0.4319258
Moved 1277.464 279.2447 214.4894 -0.1869336 -0.4462722
Moved 1277.481 278.1824 211.5471 -0.1893927 -0.4538398
Moved 1277.494 276.7466 209.7467 -0.1927161 -0.4584705
Moved 1277.509 276 210 -0.1944444 -0.457819
Moved 1277.527 275.1309 210 -0.1964562 -0.457819
Moved 1277.541 273.7208 210 -0.1997205 -0.457819
Moved 1277.556 273 223.981 -0.2013889 -0.4218597
Moved 1277.572 273 237.5522 -0.2013889 -0.3869541
Moved 1277.588 273 256.4991 -0.2013889 -0.3382224
Moved 1277.603 283.3494 282.6638 -0.177432 -0.2709265
Moved 1277.619 293.343 317.4618 -0.1542986 -0.1814255
Moved 1277.633 300.4731 341.7351 -0.1377938 -0.1189941
Moved 1277.649 311.1178 374.3682 -0.1131532 -0.03506131
Moved 1277.664 319.7964 401.8552 -0.093064 0.03563567
Moved 1277.681 325.4912 422.4737 -0.07988144 0.08866683
Moved 1277.695 330.01 441.3766 -0.06942132 0.1372853
Moved 1277.711 331 463.8174 -0.06712963 0.1950035
Moved 1277.726 331 481.6581 -0.06712963 0.2408901
Moved 1277.742 331 497 -0.06712963 0.2803498
Moved 1277.756 331 509.6322 -0.06712963 0.3128399
Moved 1277.78 331 527.2445 -0.06712963 0.358139
Stationary 1277.79 331 527.2445 -0.06712963 0.358139
Moved 1277.802 323.5367 533.3309 -0.08440584 0.3737935
Moved 1277.818 323 538.0068 -0.08564815 0.3858198
Moved 1277.834 323 540.877 -0.08564815 0.393202
Moved 1277.849 323 543.7453 -0.08564815 0.4005794
Stationary 1277.864 323 544.3681 -0.08564815 0.4021812
Moved 1277.879 323 545.5 -0.08564815 0.4050925
Moved 1277.895 323 546.1866 -0.08564815 0.4068584
Moved 1277.911 323 546.8182 -0.08564815 0.4084829
Moved 1277.927 334.2481 547 -0.05961085 0.4089505
Moved 1277.941 343.2353 547 -0.03880729 0.4089505
Moved 1277.957 356.2131 547 -0.008765906 0.4089505
Moved 1277.973 364.3196 547 0.009999176 0.4089505
Moved 1277.988 382.624 537.0128 0.05237033 0.3832633
Moved 1278.003 395.9023 533.7995 0.08310726 0.3749987
Moved 1278.018 410.4464 531.4554 0.1167741 0.3689695
Moved 1278.034 423.851 529.0331 0.1478031 0.3627394
Moved 1278.049 433.9829 527.5739 0.1712568 0.3589861
Moved 1278.064 443.1847 527.1359 0.1925572 0.3578596
Moved 1278.081 448.9693 527 0.2059473 0.3575102
Moved 1278.095 455.3215 525.5595 0.2206517 0.3538052
Moved 1278.111 459.6425 525 0.2306539 0.3523662
Moved 1278.129 462.6241 523.6879 0.2375558 0.3489915
Moved 1278.142 463.7627 523.2373 0.2401913 0.3478325
Moved 1278.157 465.2062 523 0.2435329 0.3472221
Stationary 1278.173 465 523 0.2430555 0.3472221
Stationary 1278.188 465 523 0.2430555 0.3472221
Stationary 1278.203 465 523 0.2430555 0.3472221
Moved 1278.218 457.9977 522 0.2268465 0.3446501
Moved 1278.234 446.4579 522 0.200134 0.3446501
Moved 1278.25 432.321 522 0.1674096 0.3446501
Moved 1278.265 414.62 522 0.1264351 0.3446501
Moved 1278.28 397.214 522 0.08614341 0.3446501
Moved 1278.295 381.4373 522 0.04962335 0.3446501
