exercise is good for the mind
exercise is good for the mind
Basic
0.6 0.6
432 388.8
Began 1584.365 247 510 -0.2615741 0.3137859
Stationary 1584.385 247 510 -0.2615741 0.3137859
Stationary 1584.398 247 510 -0.2615741 0.3137859
Stationary 1584.415 247 510 -0.2615741 0.3137859
Stationary 1584.431 247 510 -0.2615741 0.3137859
Stationary 1584.444 247 510 -0.2615741 0.3137859
Stationary 1584.461 247 510 -0.2615741 0.3137859
Stationary 1584.477 247 510 -0.2615741 0.3137859
Stationary 1584.491 247 510 -0.2615741 0.3137859
Moved 1584.508 247 494.6028 -0.2615741 0.274184
Moved 1584.524 253.6957 494.4891 -0.2460747 0.2738917
Moved 1584.538 257.5505 490.1742 -0.2371515 0.2627936
Moved 1584.554 259.7156 487.2844 -0.2321397 0.2553609
Moved 1584.57 261.1548 484.6905 -0.2288084 0.2486894
Moved 1584.584 262.5 482 -0.2256944 0.2417695
Moved 1584.6 262.716 478.5679 -0.2251944 0.2329421
Moved 1584.627 266.1768 464.058 -0.2171833 0.1956223
Moved 1584.638 269.0664 452.701 -0.2104944 0.1664119
Stationary 1584.649 269.0664 452.701 -0.2104944 0.1664119
Moved 1584.661 271.9683 438.1583 -0.2037771 0.129008
Moved 1584.677 276.7542 419.0651 -0.1926986 0.07989997
Moved 1584.692 281.0702 401.7193 -0.1827079 0.03528618
Moved 1584.708 284.7959 389.0612 -0.1740836 0.002729353
Moved 1584.723 290.5632 373.2012 -0.1607333 -0.03806283
Moved 1584.739 296.2741 358.8148 -0.1475137 -0.07506484
Moved 1584.755 302.0524 347.8952 -0.134138 -0.1031503
Moved 1584.769 309.0555 336.3111 -0.117927 -0.1329448
Moved 1584.785 312.9571 328.0858 -0.1088955 -0.1541005
Moved 1584.8 317.2659 320.5569 -0.0989216 -0.1734649
Moved 1584.816 320.5267 313.9467 -0.09137342 -0.1904665
Moved 1584.83 326.6807 303.9789 -0.07712796 -0.2161035
Moved 1584.846 331.3227 295.3547 -0.06638274 -0.2382853
Moved 1584.863 335.1065 287.2338 -0.05762389 -0.2591723
Moved 1584.877 338.9785 279.0431 -0.04866098 -0.280239
Moved 1584.892 344.7085 267.5831 -0.03539706 -0.3097143
Moved 1584.908 346.7446 261.7662 -0.03068377 -0.3246755
Moved 1584.924 348.966 257.068 -0.02554168 -0.3367594
Moved 1584.939 350.4156 252.7532 -0.02218609 -0.3478571
Moved 1584.953 352.8521 248.4438 -0.0165462 -0.3589408
Moved 1584.969 353 245.421 -0.01620372 -0.3667155
Moved 1584.985 354 243.2701 -0.01388888 -0.3722476
Moved 1585.001 354 242.5 -0.01388888 -0.3742284
Moved 1585.015 354 241.6945 -0.01388888 -0.3763003
Stationary 1585.029 354 241.6945 -0.01388888 -0.3763003
Stationary 1585.045 354 242 -0.01388888 -0.3755144
Stationary 1585.063 354 242 -0.01388888 -0.3755144
Moved 1585.076 345.9908 242 -0.03242875 -0.3755144
Moved 1585.092 343.1306 242 -0.03904963 -0.3755144
Moved 1585.108 338.3484 242 -0.05011931 -0.3755144
Moved 1585.123 334.0326 242 -0.06010979 -0.3755144
Moved 1585.138 329 252.5 -0.07175927 -0.3485083
Moved 1585.153 325.4926 251.7537 -0.07987812 -0.3504279
Moved 1585.169 321.0421 253.3193 -0.09018029 -0.346401
Moved 1585.186 316.7254 255.7582 -0.1001726 -0.3401282
Moved 1585.201 312.4165 259.5836 -0.1101471 -0.3302893
Moved 1585.219 308.0857 262.9143 -0.120172 -0.3217225
Moved 1585.247 299.5 278 -0.1400463 -0.2829219
Moved 1585.266 295.2707 290.9174 -0.1498364 -0.249698
Moved 1585.28 293.8262 294.5212 -0.15318 -0.2404289
Moved 1585.294 291.7285 309.9002 -0.1580358 -0.200874
Moved 1585.311 291 324.5751 -0.1597222 -0.1631299
Moved 1585.325 291 337.3158 -0.1597222 -0.1303607
Moved 1585.34 291 352.537 -0.1597222 -0.09121137
Moved 1585.356 291 360.5043 -0.1597222 -0.07071954
Moved 1585.373 291 381.1697 -0.1597222 -0.01756762
Moved 1585.387 291 393.6832 -0.1597222 0.01461735
Moved 1585.401 298.5385 407.7693 -0.1422719 0.05084701
Stationary 1585.416 298.5385 407.7693 -0.1422719 0.05084701
Moved 1585.432 299.1823 426.6404 -0.1407817 0.09938377
Moved 1585.446 300 437.5587 -0.1388889 0.1274656
Moved 1585.465 301.0605 446.3024 -0.136434 0.1499546
Moved 1585.478 301 453.8536 -0.1365741 0.1693766
Moved 1585.494 301 464.2355 -0.1365741 0.196079
Moved 1585.51 301 472.2306 -0.1365741 0.2166424
Moved 1585.525 301 480.9089 -0.1365741 0.2389632
Moved 1585.54 301 484.718 -0.1365741 0.2487603
Moved 1585.556 301 487.7517 -0.1365741 0.2565629
Moved 1585.571 301 490.6295 -0.1365741 0.2639647
Moved 1585.59 301 492.8341 -0.1365741 0.2696349
Moved 1585.601 291.6962 494.3291 -0.1581107 0.2734801
Stationary 1585.617 291.6962 494.3291 -0.1581107 0.2734801
Moved 1585.631 292.8068 496.1932 -0.1555398 0.2782745
Stationary 1585.648 292.8068 496.1932 -0.1555398 0.2782745
Moved 1585.664 293 498.0839 -0.1550926 0.2831374
Moved 1585.678 293 498.5193 -0.1550926 0.2842575
Moved 1585.694 298.0841 499 -0.1433237 0.2854938
Moved 1585.71 307.5432 500.0776 -0.1214277 0.2882654
Moved 1585.725 317.5 501.5 -0.09837966 0.2919238
Moved 1585.74 327.6851 502 -0.07480304 0.2932098
Moved 1585.755 337.6729 502 -0.05168309 0.2932098
Moved 1585.771 344.1479 502 -0.03669471 0.2932098
Moved 1585.787 348.8048 502 -0.02591471 0.2932098
Moved 1585.803 352.5 502 -0.0173611 0.2932098
Moved 1585.818 353.7948 495.6414 -0.01436383 0.2768553
Moved 1585.833 354 491.5248 -0.01388888 0.2662675
Moved 1585.849 355 487.2587 -0.01157408 0.255295
Moved 1585.866 355 478.1857 -0.01157408 0.2319589
Moved 1585.879 342.0876 460.8519 -0.04146387 0.1873763
Moved 1585.895 329.9437 438.8936 -0.06957486 0.1308992
Moved 1585.91 317.0322 417.387 -0.09946256 0.07558371
Moved 1585.926 308.9247 403.0139 -0.1182297 0.03861576
Moved 1585.94 300.8691 385.6859 -0.136877 -0.005951908
Moved 1585.958 293.6139 370.7657 -0.1536716 -0.04432702
Moved 1585.971 288.3968 359.7936 -0.1657481 -0.07254738
Moved 1585.986 285.321 348.284 -0.172868 -0.1021503
Moved 1586.002 282.4378 341.0945 -0.1795421 -0.1206417
Moved 1586.017 280.7696 331.3875 -0.1834037 -0.1456085
Moved 1586.033 279.7523 326.7612 -0.1857587 -0.1575071
Moved 1586.049 280 316.5767 -0.1851852 -0.1837021
Moved 1586.066 280 311.3471 -0.1851852 -0.1971525
Moved 1586.079 280 303.0654 -0.1851852 -0.2184533
Moved 1586.095 287.6616 296.6219 -0.1674501 -0.2350259
Moved 1586.112 291.6089 288.3184 -0.1583126 -0.2563828
Moved 1586.126 297.9027 280.1168 -0.1437438 -0.2774774
Moved 1586.141 304.2144 272.7499 -0.1291334 -0.2964253
Moved 1586.156 313.4435 263.0484 -0.1077696 -0.3213776
Moved 1586.172 321.6607 255.3392 -0.08874828 -0.3412057
Moved 1586.188 330.2252 246.7749 -0.06892323 -0.3632334
Moved 1586.202 336.0767 241.7386 -0.05537808 -0.3761867
Moved 1586.219 341.9878 237.2592 -0.04169494 -0.387708
Moved 1586.234 346.0699 232.6201 -0.03224572 -0.3996396
Moved 1586.254 349.5561 229.444 -0.02417579 -0.4078088
Moved 1586.266 352.4923 226.5077 -0.01737883 -0.4153609
Moved 1586.279 353.6862 224.6274 -0.01461516 -0.420197
Moved 1586.295 355.1259 222.8741 -0.01128276 -0.4247064
Moved 1586.311 356 223 -0.009259283 -0.4243828
