that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Began 363.5783 324 290 -0.08333336 -0.2520577
Stationary 363.5995 324 290 -0.08333336 -0.2520577
Stationary 363.6133 324 290 -0.08333336 -0.2520577
Stationary 363.6276 324 290 -0.08333336 -0.2520577
Stationary 363.6433 324 290 -0.08333336 -0.2520577
Moved 363.6589 311.2985 319.2797 -0.1127349 -0.1767498
Moved 363.6825 300.8783 366.7301 -0.1368557 -0.05470652
Stationary 363.6942 300.8783 366.7301 -0.1368557 -0.05470652
Moved 363.7059 298.0207 386.8448 -0.1434706 -0.002971304
Moved 363.7201 298 399.4261 -0.1435185 0.029388
Moved 363.7366 297 406.8348 -0.1458333 0.04844343
Moved 363.753 297 412.6171 -0.1458333 0.06331553
Moved 363.7672 297 416.5 -0.1458333 0.07330243
Moved 363.7828 297 418.9185 -0.1458333 0.0795229
Moved 363.7985 297 420.2947 -0.1458333 0.08306251
Moved 363.8133 297 421.2539 -0.1458333 0.08552947
Stationary 363.8285 297 421.2539 -0.1458333 0.08552947
Moved 363.8438 306.8671 408.9402 -0.1229928 0.0538585
Moved 363.8602 314.8074 396.7889 -0.1046124 0.02260506
Moved 363.8745 321.6087 370.087 -0.08886874 -0.04607267
Moved 363.8909 326.9803 348.0786 -0.07643437 -0.1026785
Moved 363.9062 328 319.4057 -0.07407407 -0.1764257
Moved 363.922 328 304.5072 -0.07407407 -0.2147449
Moved 363.9365 328 287.5725 -0.07407407 -0.2583012
Moved 363.9526 328 275.6303 -0.07407407 -0.2890168
Moved 363.9698 320.2253 270.5446 -0.09207095 -0.3020972
Moved 363.9832 312.7989 262.5586 -0.1092619 -0.3226374
Moved 363.9989 301.7624 259.7525 -0.1348092 -0.3298548
Moved 364.0132 283.9171 257.9941 -0.1761179 -0.3343774
Moved 364.0296 263.1574 258 -0.2241727 -0.3343622
Moved 364.045 243.542 258 -0.2695788 -0.3343622
Moved 364.0614 218.2317 274.1417 -0.3281674 -0.2928456
Moved 364.0757 203.9519 279.8192 -0.3612224 -0.2782427
Moved 364.0905 191.7293 288.5138 -0.3895155 -0.2558802
Moved 364.1077 182.2252 294.8499 -0.4115159 -0.2395836
Moved 364.1214 176.6026 301.7468 -0.424531 -0.2218448
Moved 364.1359 175.2666 308.4005 -0.4276237 -0.2047313
Moved 364.1519 175 315.7698 -0.4282407 -0.1857772
Moved 364.1674 182.9763 330.6737 -0.4097771 -0.1474442
Moved 364.1833 200.3086 347.338 -0.3696561 -0.1045833
