players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Began 334.2801 511 563 0.349537 0.4501028
Stationary 334.3006 511 563 0.349537 0.4501028
Stationary 334.3209 511 563 0.349537 0.4501028
Stationary 334.3312 511 563 0.349537 0.4501028
Moved 334.3441 511 552.1983 0.349537 0.4223206
Moved 334.3604 511 542.7843 0.349537 0.3981077
Moved 334.3752 511 532.7088 0.349537 0.3721934
Moved 334.391 503.4167 520 0.3319831 0.3395061
Moved 334.4077 500.886 503.9872 0.3261251 0.2983209
Moved 334.4241 499.0028 490.028 0.3217657 0.2624176
Moved 334.4381 497.5585 479.9095 0.3184224 0.2363928
Moved 334.4524 496.1221 467.2211 0.3150975 0.203758
Moved 334.468 496 459.3925 0.3148148 0.1836226
Moved 334.4837 494.2386 448.6705 0.3107376 0.1560454
Moved 334.5006 494 441.561 0.3101851 0.1377598
Moved 334.5161 492.6762 431.7334 0.3071209 0.1124829
Moved 334.5327 492.3196 426.2785 0.3062953 0.09845282
Moved 334.5455 492 422.7936 0.3055556 0.08948957
Moved 334.5621 492 418.5 0.3055556 0.07844638
Moved 334.5781 491.0256 417.0256 0.3032999 0.07465413
Moved 334.5923 491 415.5814 0.3032407 0.07093983
Moved 334.6071 491 412.7326 0.3032407 0.06361263
Moved 334.6229 490.0555 410.111 0.3010544 0.0568698
Moved 334.6387 490 405.8578 0.300926 0.04593044
Moved 334.6543 490 399.8809 0.300926 0.03055784
Moved 334.6699 490 392.6752 0.300926 0.01202473
Moved 334.685 489.294 386.47 0.2992917 -0.003935143
Moved 334.7007 489 378.0286 0.2986111 -0.02564662
Moved 334.7159 489 373 0.2986111 -0.03858032
Moved 334.7327 488 370.0857 0.2962963 -0.04607604
Moved 334.7461 486.8338 366.6676 0.2935968 -0.05486735
Moved 334.7621 486.3815 363.7629 0.2925497 -0.06233819
Moved 334.7798 486 359.8167 0.2916667 -0.07248804
Moved 334.7926 484.5 357 0.2881944 -0.07973259
Moved 334.808 484 355.0555 0.287037 -0.08473376
Moved 334.8255 481.2228 350.8342 0.2806083 -0.09559105
Moved 334.8401 478.0562 349.0281 0.2732784 -0.1002363
Moved 334.8544 467.6936 346.1541 0.2492909 -0.1076284
Moved 334.8699 454.5891 344.621 0.2189564 -0.1115715
Moved 334.8853 437.3861 345 0.1791344 -0.1105968
Moved 334.9007 413.7868 345 0.1245065 -0.1105968
Moved 334.9161 395.4136 354.6605 0.08197606 -0.08574992
Moved 334.9328 376.8588 358.2634 0.03902495 -0.07648318
Moved 334.9472 364.4394 361.1294 0.01027634 -0.06911172
Moved 334.9629 338 365.5 -0.05092591 -0.05787045
Moved 334.9787 321.8286 364.9408 -0.08835981 -0.05930873
Moved 334.993 307.3606 366.364 -0.1218505 -0.05564835
Moved 335.0092 289.2715 367.8107 -0.1637233 -0.05192713
Moved 335.0254 273.11 368 -0.2011344 -0.05144041
Moved 335.0413 260.1499 368 -0.2311345 -0.05144041
Moved 335.0554 249.3735 368.8474 -0.2560799 -0.04926085
Moved 335.0702 236.7719 370.2476 -0.2852503 -0.04565957
Moved 335.0854 225.8499 370 -0.3105327 -0.04629637
Moved 335.1015 213.9902 370 -0.3379857 -0.04629637
Moved 335.1168 202.5059 370.5618 -0.3645697 -0.04485158
Moved 335.132 192.9972 372.0005 -0.3865805 -0.04115101
Moved 335.1495 183.0107 374.8541 -0.4096974 -0.03381171
Moved 335.1634 177.745 374.651 -0.4218865 -0.03433392
Moved 335.1789 172.146 375.9635 -0.4348473 -0.03095807
Moved 335.1932 166.3912 377.4022 -0.4481686 -0.02725766
Moved 335.2091 162.318 378.841 -0.4575972 -0.02355709
Moved 335.2248 159.4406 380.2797 -0.4642579 -0.01985668
Moved 335.2401 156.5672 381.7164 -0.4709093 -0.01616152
Moved 335.2545 154.8489 383.1511 -0.4748868 -0.01247163
Moved 335.2703 152 384.5 -0.4814814 -0.009002057
Moved 335.2856 151.2722 385.7278 -0.4831661 -0.005844257
Moved 335.3019 151 389.5073 -0.4837963 0.003876588
Moved 335.3171 151 393.4408 -0.4837963 0.0139937
Moved 335.3343 151 400.2445 -0.4837963 0.03149307
Moved 335.3475 166.8758 409.9006 -0.4470468 0.05632867
Moved 335.3628 181.162 420.4134 -0.4139768 0.08336769
Moved 335.3797 199.7507 433.289 -0.3709473 0.116484
Moved 335.393 213.4655 440.6946 -0.3392003 0.1355313
Moved 335.4093 231.8436 450.4218 -0.2966583 0.1605499
Moved 335.427 247.7245 459.0316 -0.259897 0.1826943
Moved 335.4398 259.7671 462.3301 -0.2320206 0.1911783
Moved 335.455 275.432 467.8844 -0.1957592 0.2054639
Moved 335.4714 287.5971 471.9702 -0.1675993 0.2159727
Moved 335.4867 298.7563 475.1891 -0.1417677 0.2242517
Moved 335.5026 305.8648 477.2471 -0.1253129 0.2295449
Moved 335.5249 325.2766 481.0461 -0.0803783 0.239316
Stationary 335.5352 325.2766 481.0461 -0.0803783 0.239316
Moved 335.5472 334.9172 482.4862 -0.05806198 0.24302
Moved 335.5628 342.632 483.9264 -0.04020378 0.2467242
Moved 335.5784 351.1913 485.3652 -0.0203904 0.2504249
Moved 335.5929 359.5759 486.7966 -0.0009817879 0.2541063
Moved 335.6095 365.6982 487.9396 0.01319021 0.2570463
Moved 335.6283 374.1572 490.7191 0.03277133 0.2641951
Moved 335.6403 379.1569 491.7892 0.04434466 0.2669476
Moved 335.6557 382.4582 493.2291 0.05198648 0.2706508
