good jobs for those with education
good jobs for those with education
Basic
0.6 0.6
432 388.8
Began 596.5791 221 368 -0.3217593 -0.05144041
Stationary 596.5977 221 368 -0.3217593 -0.05144041
Stationary 596.6113 221 368 -0.3217593 -0.05144041
Stationary 596.6287 221 368 -0.3217593 -0.05144041
Stationary 596.6428 221 368 -0.3217593 -0.05144041
Moved 596.6581 234.4504 368 -0.290624 -0.05144041
Moved 596.6735 249.984 378.488 -0.2546667 -0.02446516
Moved 596.6893 269 390.5 -0.2106481 0.006429962
Moved 596.7051 300.9806 408.3348 -0.1366189 0.0523015
Moved 596.7208 342.3786 427.5145 -0.04079034 0.101632
Moved 596.735 377.4278 446.2139 0.04034201 0.149727
Moved 596.7508 400.8958 455.9628 0.09466608 0.1748012
Moved 596.7658 415.326 461.7304 0.1280693 0.1896358
Moved 596.7831 426.0505 465.6439 0.1528947 0.1997014
Moved 596.7968 437.5715 469.9643 0.1795637 0.2108134
Moved 596.8128 441.6345 471.6538 0.1889688 0.2151589
Moved 596.8292 451.3584 475.7433 0.2114779 0.2256772
Moved 596.8433 458.5762 479.9457 0.2281858 0.2364859
Moved 596.8585 464.7303 482.4921 0.2424313 0.2430353
Moved 596.8759 470.7877 486.5908 0.2564529 0.253577
Moved 596.8902 475.86 489.24 0.2681944 0.2603909
Moved 596.9052 480.192 493.192 0.2782223 0.2705556
Moved 596.9205 483.3337 494.1112 0.2854946 0.2729197
Moved 596.9355 487.7792 498.1861 0.2957852 0.2834004
Moved 596.9507 491.0735 502.1103 0.303411 0.2934934
Moved 596.9672 493.9536 503.4768 0.3100778 0.2970081
Moved 596.9824 497.8343 506.9171 0.3190609 0.3058567
Moved 596.9973 500.7065 509.7065 0.3257095 0.313031
Moved 597.013 502.7944 510.7944 0.3305426 0.3158292
Moved 597.0283 503.9462 511.9462 0.3332087 0.3187915
Moved 597.0446 505.3622 513.3621 0.3364865 0.3224334
Moved 597.0599 506 513.8044 0.337963 0.3235709
Moved 597.075 507.2411 514 0.3408358 0.324074
Moved 597.091 507.68 515 0.3418518 0.326646
Stationary 597.105 508 515 0.3425926 0.326646
Moved 597.1218 509.5 516.5 0.3460647 0.3305041
Stationary 597.1355 509.5 516.5 0.3460647 0.3305041
Moved 597.1516 509 516 0.3449074 0.329218
Stationary 597.166 509 516 0.3449074 0.329218
Stationary 597.1838 509 516 0.3449074 0.329218
Moved 597.199 509 517.2487 0.3449074 0.3324297
Stationary 597.2133 509 517 0.3449074 0.33179
Stationary 597.2294 509 517 0.3449074 0.33179
Stationary 597.2448 509 517 0.3449074 0.33179
Moved 597.2602 485.0601 499.5375 0.2894909 0.2868763
Moved 597.2759 464.4409 487.5377 0.2417614 0.2560124
Moved 597.2912 442.2437 474.575 0.190379 0.2226723
Moved 597.3074 419.1377 461.5401 0.1368927 0.1891463
Moved 597.3227 397.5 450 0.08680551 0.1594649
Moved 597.3376 379.8453 439.5072 0.04593829 0.1324773
Moved 597.353 365.3326 433.533 0.01234382 0.1171116
Moved 597.3682 353.9416 428.1553 -0.01402418 0.10328
Moved 597.3835 337.6077 420.3038 -0.05183398 0.08308595
Moved 597.399 326.0699 415.9012 -0.07854193 0.07176223
Moved 597.4147 317.1765 410.5883 -0.09912838 0.05809733
Moved 597.4305 308.5859 405.0573 -0.1190142 0.04387149
Moved 597.4449 300.6116 401.967 -0.137473 0.03592322
Moved 597.4604 293.4135 397.6481 -0.1541355 0.02481496
Moved 597.4758 290.5505 395.7003 -0.1607627 0.01980522
Moved 597.4915 283.3919 392.6959 -0.1773336 0.01207795
Moved 597.5068 278.7334 389.8223 -0.1881171 0.004686897
Moved 597.5219 273 387 -0.2013889 -0.002572055
Moved 597.537 269.1174 384.0782 -0.2103764 -0.01008685
Moved 597.553 264.7898 381.1932 -0.2203941 -0.01750734
Moved 597.5684 261.4772 379.3181 -0.2280621 -0.02232995
Moved 597.5857 260.0171 379 -0.2314419 -0.02314815
Moved 597.5984 257.1912 377.5956 -0.2379833 -0.02676026
Moved 597.6144 256.1509 376.1509 -0.2403915 -0.03047613
Moved 597.6305 254.719 374.7191 -0.2437059 -0.03415889
Moved 597.6451 253.2815 375 -0.2470335 -0.03343629
Moved 597.6604 251.8494 373.8494 -0.2503486 -0.03639567
Stationary 597.6755 251.8494 373.8494 -0.2503486 -0.03639567
Moved 597.6901 251 373.2343 -0.2523148 -0.03797774
Ended 597.7076 251 372.5 -0.2523148 -0.03986633
Candidates 597.8591 12 did food dod dogs dos soda shops sosa foods said ships aid
Began 599.1693 381 440 0.04861106 0.1337448
Stationary 599.1885 381 440 0.04861106 0.1337448
Ended 599.2031 381 440 0.04861106 0.1337448
NextCandidatePanel 599.2314
Began 599.939 366 452 0.01388888 0.164609
Stationary 599.9595 366 452 0.01388888 0.164609
Stationary 599.9743 366 452 0.01388888 0.164609
Stationary 599.9894 366 452 0.01388888 0.164609
Stationary 600.004 366 452 0.01388888 0.164609
Ended 600.0197 366 452 0.01388888 0.164609
NextCandidatePanel 600.0806
Began 600.8032 366 455 0.01388888 0.172325
Stationary 600.8226 366 455 0.01388888 0.172325
Stationary 600.8362 366 455 0.01388888 0.172325
Stationary 600.853 366 455 0.01388888 0.172325
Stationary 600.8675 366 455 0.01388888 0.172325
Ended 600.8839 366 455 0.01388888 0.172325
Began 600.9438 363 453 0.006944438 0.167181
NextCandidatePanel 600.9438
Stationary 600.9602 363 453 0.006944438 0.167181
Stationary 600.9766 363 453 0.006944438 0.167181
Stationary 600.9919 363 453 0.006944438 0.167181
Ended 601.0059 363 453 0.006944438 0.167181
Cancel 601.0657
Began 601.7304 323 412 -0.08564815 0.06172835
Stationary 601.7485 323 412 -0.08564815 0.06172835
Stationary 601.7625 323 412 -0.08564815 0.06172835
