did you have a good time
did you have a good time
Basic
0.6 0.6
432 388.8
Began 356.8068 217 380 -0.3310185 -0.02057613
Stationary 356.8249 217 380 -0.3310185 -0.02057613
Stationary 356.8395 217 380 -0.3310185 -0.02057613
Stationary 356.8545 217 380 -0.3310185 -0.02057613
Stationary 356.869 217 380 -0.3310185 -0.02057613
Stationary 356.8834 217 380 -0.3310185 -0.02057613
Moved 356.9006 224.0703 380 -0.314652 -0.02057613
Moved 356.9163 232.7292 380 -0.2946083 -0.02057613
Moved 356.9319 240.0275 380 -0.2777142 -0.02057613
Moved 356.9462 256.108 385.1695 -0.2404907 -0.007280145
Moved 356.9633 270.9223 392.3689 -0.2061984 0.01123679
Moved 356.9795 285 398 -0.1736111 0.02572008
Moved 356.9938 297.6857 402.8821 -0.144246 0.03827707
Moved 357.0078 307.7678 407.1862 -0.1209078 0.04934719
Moved 357.0232 316.0258 411.5129 -0.1017921 0.06047543
Moved 357.0396 322.7827 414.8914 -0.08615106 0.06916493
Moved 357.0562 331.3452 419.1726 -0.06633058 0.08017634
Moved 357.0706 339.1452 422.6581 -0.04827494 0.08914107
Moved 357.086 347.6101 429.3417 -0.02868031 0.1063315
Moved 357.1015 356.1791 435.4826 -0.008844733 0.1221259
Moved 357.1163 363.6559 441.5247 0.008462667 0.1376663
Moved 357.1314 370.9226 447.3381 0.02528379 0.1526184
Moved 357.1475 376.0182 451.2637 0.03707926 0.1627151
Moved 357.1627 383.6545 456.4363 0.0547559 0.1760193
Moved 357.1789 390.7376 462.1901 0.07115195 0.1908182
Moved 357.1928 395.9503 466.9503 0.08321822 0.2030613
Moved 357.2085 403.131 471.2786 0.09984026 0.2141939
Moved 357.2258 408.4566 475.5925 0.1121681 0.2252892
Moved 357.2406 415.5124 481.2099 0.1285008 0.2397373
Moved 357.2562 421.5 487.5 0.1423611 0.2559156
Moved 357.2709 428.279 493.3992 0.1580532 0.2710883
Moved 357.2862 435.5978 500.5978 0.174995 0.2896034
Moved 357.3021 442.0278 505.2709 0.1898791 0.3016226
Moved 357.3171 447.7749 510.7749 0.2031826 0.315779
Moved 357.3314 451.902 513.902 0.212736 0.3238219
Moved 357.3476 455.1435 516.0718 0.2202397 0.3294026
Moved 357.3629 458 517.5 0.2268519 0.3330761
Moved 357.379 458.6719 519 0.2284073 0.3369341
Moved 357.3939 460.1103 520.1103 0.2317369 0.3397897
Stationary 357.4091 460.1103 520.1103 0.2317369 0.3397897
Moved 357.4253 461.374 521.374 0.234662 0.34304
Moved 357.4403 462.2157 522.2157 0.2366104 0.3452049
Stationary 357.4542 462.2157 522.2157 0.2366104 0.3452049
Stationary 357.4716 462 522 0.2361111 0.3446501
Stationary 357.4875 462 522 0.2361111 0.3446501
Stationary 357.5022 462 522 0.2361111 0.3446501
Moved 357.5174 451.7532 512.8917 0.2123917 0.3212235
Moved 357.5326 429.7773 495.9056 0.1615215 0.2775348
Moved 357.5485 405.2234 474.5319 0.1046838 0.2225615
Moved 357.5638 382.1367 455.3438 0.05124241 0.1732091
Moved 357.5797 362.5993 439.6995 0.006016791 0.1329718
Moved 357.5959 348.8469 428.0243 -0.02581745 0.1029431
Moved 357.6112 322.1093 407.6875 -0.08770987 0.05063649
Moved 357.6266 314.8815 402.9171 -0.104441 0.03836683
Moved 357.6418 299.8314 393.2209 -0.1392793 0.0134282
Moved 357.6557 291.1507 389.7169 -0.1593734 0.004415865
Moved 357.6732 283.556 386.8224 -0.1769537 -0.003028838
Moved 357.6868 276.5 384 -0.193287 -0.01028807
Moved 357.7034 272.468 382.367 -0.2026204 -0.01448816
Moved 357.7184 267.7592 379.8394 -0.2135205 -0.02098923
Moved 357.7401 260.5026 377.8342 -0.2303181 -0.02614653
Stationary 357.7503 260.5026 377.8342 -0.2303181 -0.02614653
Moved 357.7643 257.1866 376.3955 -0.2379941 -0.02984702
Moved 357.7796 253.9254 374.9627 -0.245543 -0.03353221
Moved 357.7947 251.0477 374 -0.2522044 -0.03600823
Moved 357.8108 249.2996 373.2996 -0.2562509 -0.03780985
Moved 357.8274 246.9078 373 -0.2617875 -0.03858032
Moved 357.8431 245.5152 371.5152 -0.2650111 -0.04239926
Moved 357.8574 243.0791 372 -0.2706503 -0.04115226
Moved 357.8727 241.6405 370.6405 -0.2739804 -0.04464899
Moved 357.8886 240.2058 371 -0.2773014 -0.04372435
Moved 357.9027 238.7659 369.7659 -0.2806345 -0.04689832
Moved 357.9178 237.5 370 -0.2835648 -0.04629637
Stationary 357.9345 237.5 370 -0.2835648 -0.04629637
Moved 357.9489 237 368.7949 -0.2847222 -0.04939577
Moved 357.9644 235.5 369 -0.2881945 -0.04886839
Moved 357.9818 234.9556 369 -0.2894545 -0.04886839
Stationary 357.9966 234.9556 369 -0.2894545 -0.04886839
Stationary 358.0099 234.9556 369 -0.2894545 -0.04886839
Moved 358.0268 233.7513 369 -0.2922424 -0.04886839
Stationary 358.0414 234 369 -0.2916667 -0.04886839
Ended 358.0567 234 369 -0.2916667 -0.04886839
Candidates 358.1927 12 did said aid aids asia dod soda dos sosa dogs food sits
Began 358.826 363 304 0.006944438 -0.2160494
Stationary 358.8439 363 304 0.006944438 -0.2160494
Stationary 358.8571 363 304 0.006944438 -0.2160494
Moved 358.8728 363 317.2908 0.006944438 -0.1818654
Moved 358.8898 363 334.1518 0.006944438 -0.1384985
Moved 358.9055 373.3197 355.3495 0.03083269 -0.08397773
Moved 358.9201 377 373.5 0.03935188 -0.03729432
Moved 358.936 381.5214 391.6071 0.04981816 0.009277327
Moved 358.951 384.5741 405.5836 0.05688459 0.04522527
Moved 358.9665 386.4368 416.3105 0.06119639 0.07281499
Moved 358.982 389.3078 426.0772 0.0678421 0.09793509
Moved 358.9973 391.0569 434.6422 0.07189094 0.1199643
Moved 359.0134 392.9404 440.7614 0.07625083 0.1357031
Ended 359.0291 394.3794 443.7588 0.07958193 0.1434124
Accept 359.0866 0 did
Began 359.3651 306 491 -0.125 0.2649176
Stationary 359.3834 306 491 -0.125 0.2649176
Stationary 359.3965 306 491 -0.125 0.2649176
Stationary 359.4122 306 491 -0.125 0.2649176
Stationary 359.4274 306 491 -0.125 0.2649176
Stationary 359.4435 306 491 -0.125 0.2649176
Moved 359.4589 316.0005 491 -0.1018506 0.2649176
Moved 359.4768 323.2009 491 -0.08518308 0.2649176
Moved 359.4998 358.243 483 -0.004067173 0.2443414
Stationary 359.5107 358.243 483 -0.004067173 0.2443414
Moved 359.5238 376.587 482.5413 0.03839582 0.2431617
Moved 359.5374 390.9637 482 0.07167508 0.2417695
Moved 359.5538 403.9577 482 0.101754 0.2417695
Moved 359.5682 414.3996 482 0.1259249 0.2417695
Moved 359.584 424.5736 482 0.149476 0.2417695
Moved 359.598 430.4648 480.7559 0.163113 0.2385695
Moved 359.6137 438.6952 481 0.1821648 0.2391974
Moved 359.6294 445.4734 481 0.1978551 0.2391974
