learn to walk before you run
learn to walk before you run
Basic
0.6 0.6
432 388.8
Began 1126.316 487 386 0.2939814 -0.005144111
Stationary 1126.335 487 386 0.2939814 -0.005144111
Stationary 1126.35 487 386 0.2939814 -0.005144111
Stationary 1126.366 487 386 0.2939814 -0.005144111
Stationary 1126.38 487 386 0.2939814 -0.005144111
Stationary 1126.395 487 386 0.2939814 -0.005144111
Stationary 1126.41 487 386 0.2939814 -0.005144111
Stationary 1126.426 487 386 0.2939814 -0.005144111
Stationary 1126.441 487 386 0.2939814 -0.005144111
Moved 1126.458 477.2668 398.514 0.2714511 0.02704216
Moved 1126.473 465.2737 411.4989 0.2436891 0.06043952
Moved 1126.491 449.1807 427.8193 0.2064369 0.1024158
Moved 1126.504 425.5002 445.8927 0.1516208 0.1489009
Moved 1126.52 403.288 459.3181 0.1002036 0.1834313
Moved 1126.535 374.706 472.9971 0.0340417 0.2186139
Moved 1126.551 351 482 -0.02083332 0.2417695
Moved 1126.566 328.4507 489.1831 -0.07303088 0.2602445
Moved 1126.583 306.1711 495.4877 -0.1246039 0.2764602
Moved 1126.597 290 501 -0.162037 0.2906378
Moved 1126.612 275.3645 503.7726 -0.1959154 0.2977689
Moved 1126.627 265.1207 506.5369 -0.219628 0.3048789
Moved 1126.643 253.452 509.2994 -0.2466388 0.3119841
Moved 1126.658 244.7857 512.0714 -0.2666997 0.3191136
Moved 1126.673 238.7018 513.0497 -0.280783 0.3216298
Moved 1126.689 230.2798 515.9067 -0.3002782 0.3289782
Moved 1126.705 225.6427 518.6786 -0.3110122 0.3361076
Moved 1126.719 221.3243 520.2252 -0.3210086 0.3400853
Moved 1126.735 218.7774 522.2226 -0.3269041 0.3452226
Moved 1126.751 216.0164 523.9918 -0.3332954 0.3497731
Moved 1126.774 212.5 526.5 -0.3414352 0.3562242
Stationary 1126.785 212.5 526.5 -0.3414352 0.3562242
Moved 1126.796 211.1579 527 -0.3445418 0.3575102
Moved 1126.812 209.772 528.228 -0.34775 0.3606687
Moved 1126.829 208.3876 528 -0.3509545 0.3600822
Moved 1126.842 207.0055 528 -0.354154 0.3600822
