the price of gas is high
the price of gas is high
Basic
0.6 0.6
432 388.8
Began 1792.426 278 482 -0.1898148 0.2417695
Stationary 1792.445 278 482 -0.1898148 0.2417695
Stationary 1792.46 278 482 -0.1898148 0.2417695
Stationary 1792.475 278 482 -0.1898148 0.2417695
Stationary 1792.49 278 482 -0.1898148 0.2417695
Stationary 1792.506 278 482 -0.1898148 0.2417695
Moved 1792.523 278 492.8441 -0.1898148 0.2696607
Moved 1792.538 272.4408 497.0847 -0.2026834 0.2805676
Moved 1792.556 268.9796 501.061 -0.2106953 0.2907948
Moved 1792.569 267.5407 503.9185 -0.2140261 0.2981443
Moved 1792.585 266.046 507.908 -0.2174861 0.3084051
Moved 1792.6 264.5979 510.8042 -0.2208382 0.3158544
Moved 1792.615 263.16 513.6801 -0.2241667 0.3232511
Moved 1792.63 263 515.2802 -0.2245371 0.3273666
Moved 1792.647 261.5 518 -0.2280093 0.3343621
Moved 1792.662 262 518.8353 -0.2268519 0.3365104
Moved 1792.677 262 520.2759 -0.2268519 0.3402157
Moved 1792.693 261.2839 521.7161 -0.2285094 0.3439199
Moved 1792.709 261 523.1562 -0.2291666 0.3476239
Moved 1792.723 261 524.5964 -0.2291666 0.3513282
Moved 1792.738 261 526.0278 -0.2291666 0.3550098
Moved 1792.756 261 527.4682 -0.2291666 0.3587144
Moved 1792.77 261 529.1102 -0.2291666 0.3629377
Moved 1792.785 267.9872 531.9963 -0.2129927 0.3703609
Moved 1792.802 272.3024 533.4341 -0.2030036 0.3740589
Moved 1792.815 275.7577 534.8788 -0.1950053 0.3777747
Moved 1792.83 279.967 536.3223 -0.1852615 0.3814874
Moved 1792.845 284.3113 537 -0.1752053 0.3832304
Moved 1792.861 292.2791 537 -0.1567615 0.3832304
Moved 1792.878 294.8013 537 -0.1509229 0.3832304
Moved 1792.893 302.1664 537 -0.1338741 0.3832304
Moved 1792.907 306.6953 537 -0.1233906 0.3832304
Moved 1792.923 310.0186 537 -0.1156976 0.3832304
Moved 1792.938 314.3456 537 -0.1056814 0.3832304
Moved 1792.955 318.1749 537 -0.09681737 0.3832304
Moved 1792.97 323.9354 530.113 -0.08348286 0.365517
Moved 1792.985 327.2041 528.9319 -0.07591645 0.3624792
Moved 1793 334.1349 523.8651 -0.05987297 0.3494473
Moved 1793.016 340.8557 518.1155 -0.04431561 0.334659
Moved 1793.032 349.5646 510.8629 -0.02415602 0.3160052
Moved 1793.047 357.2999 504.7001 -0.006250292 0.3001546
Moved 1793.062 364.4818 498.8146 0.01037459 0.2850168
Moved 1793.077 372.4418 492.2985 0.02880057 0.2682573
Moved 1793.093 377.36 488.48 0.04018506 0.2584362
Moved 1793.108 385.2682 479.5204 0.05849113 0.235392
Moved 1793.124 393.2903 470.0516 0.07706086 0.2110381
Moved 1793.139 401.5752 460.3289 0.09623894 0.186031
Moved 1793.156 408.1577 451.7634 0.1114763 0.1640004
Moved 1793.171 413.9183 442.1431 0.1248108 0.1392567
Moved 1793.185 421.0589 430.7057 0.1413401 0.1098398
Moved 1793.202 423.9473 422.4563 0.1480262 0.08862204
Moved 1793.218 426.9507 412.1971 0.1549785 0.06223541
Moved 1793.24 434.7025 379.0822 0.1729225 -0.02293669
Stationary 1793.252 434.7025 379.0822 0.1729225 -0.02293669
Moved 1793.263 437.5731 361.5616 0.1795672 -0.06799988
Moved 1793.278 439.4736 346.3689 0.1839665 -0.1070759
Moved 1793.294 441.1663 335.8361 0.1878849 -0.1341664
Moved 1793.31 441 328 0.1875 -0.1543211
Moved 1793.324 441 325.8893 0.1875 -0.1597497
Moved 1793.34 441 321.5611 0.1875 -0.170882
Moved 1793.357 436.3086 321 0.1766403 -0.1723252
