travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Began 2674.035 427 260 0.1550926 -0.3292181
Stationary 2674.052 427 260 0.1550926 -0.3292181
Stationary 2674.066 427 260 0.1550926 -0.3292181
Stationary 2674.082 427 260 0.1550926 -0.3292181
Stationary 2674.097 427 260 0.1550926 -0.3292181
Stationary 2674.115 427 260 0.1550926 -0.3292181
Stationary 2674.128 427 260 0.1550926 -0.3292181
Moved 2674.144 413.8988 276.3765 0.1247657 -0.2870974
Moved 2674.159 409.7396 285.5209 0.1151379 -0.2635781
Moved 2674.175 401.7599 297.6321 0.09666651 -0.2324277
Moved 2674.19 394.6515 309.1577 0.08021176 -0.2027839
Moved 2674.205 387.4029 325.1942 0.06343265 -0.1615377
Moved 2674.222 382.6045 337.0546 0.05232523 -0.1310323
Moved 2674.238 379.2862 347.5701 0.04464408 -0.1039865
Moved 2674.252 376.9886 355.0457 0.03932545 -0.08475904
Moved 2674.268 374.8273 362.6045 0.03432234 -0.06531774
Moved 2674.284 372.4558 371.7209 0.02883285 -0.04187023
Moved 2674.299 371.0157 377.9374 0.02549917 -0.02588123
Moved 2674.314 368.1264 386.6209 0.01881103 -0.003547119
Moved 2674.329 366.2607 389.6089 0.01449237 0.004138201
Moved 2674.345 364.6931 393.9206 0.01086374 0.01522782
Moved 2674.361 362.5042 397.4958 0.005796751 0.0244234
Moved 2674.375 361.1366 399.7268 0.002631048 0.03016146
Moved 2674.391 359.7407 402.5187 -0.0006003181 0.03734224
Moved 2674.409 359.3011 404.6989 -0.001617869 0.04294976
Moved 2674.422 359 406.1349 -0.002314796 0.04664315
Moved 2674.446 358 409.0156 -0.004629641 0.05405241
Moved 2674.46 356.5565 410.4435 -0.007971078 0.05772508
Stationary 2674.47 356.5565 410.4435 -0.007971078 0.05772508
Moved 2674.483 354.6673 410.6663 -0.01234417 0.05829807
Moved 2674.499 352.0057 411 -0.01850536 0.05915629
Moved 2674.515 346.2342 411 -0.03186539 0.05915629
Moved 2674.53 341.4798 411 -0.04287084 0.05915629
Moved 2674.545 334.3974 411 -0.05926535 0.05915629
Moved 2674.562 326.4356 401.7178 -0.0776953 0.03528246
Moved 2674.576 316.6655 396.2374 -0.1003114 0.02118668
Moved 2674.591 307.5 391 -0.1215278 0.007715971
Moved 2674.61 295.5844 381.4814 -0.1491103 -0.01676591
Moved 2674.623 280.4128 367.4128 -0.1842295 -0.05295058
Moved 2674.639 263.3147 352.3148 -0.2238085 -0.09178311
Moved 2674.654 248.6346 337.6346 -0.2577902 -0.1295405
Moved 2674.669 234.1572 322.6729 -0.2913028 -0.1680223
