a picture is worth many words
a picture is worth many words
FixStart
0.6 0.6
432 388.8
Began 3763.587 399 261 0.09027779 -0.3266461
Stationary 3763.606 399 261 0.09027779 -0.3266461
Stationary 3763.622 399 261 0.09027779 -0.3266461
Moved 3763.64 386.7601 261 0.06194472 -0.3266461
Moved 3763.653 373.2705 261 0.03071874 -0.3266461
Moved 3763.667 360.2956 261 0.000684162 -0.3266461
Moved 3763.683 341.2997 261 -0.04328777 -0.3266461
Moved 3763.701 325.6301 261 -0.07955988 -0.3266461
Moved 3763.715 303.3029 261 -0.1312433 -0.3266461
Moved 3763.73 287.1917 261 -0.1685376 -0.3266461
Moved 3763.746 268.7775 252.8033 -0.2111631 -0.3477281
Moved 3763.762 252.8697 248.5479 -0.2479869 -0.3586732
Moved 3763.776 241.6165 244.8904 -0.2740359 -0.3680804
Moved 3763.792 231.5467 242.0133 -0.2973457 -0.3754802
Moved 3763.808 224.6061 239.6425 -0.3134119 -0.3815781
Moved 3763.823 217.9975 237.9995 -0.3287095 -0.3858039
Moved 3763.838 212.2102 236.5526 -0.3421059 -0.3895251
Moved 3763.853 209.1776 236 -0.349126 -0.3909465
Moved 3763.868 206.2405 236 -0.3559248 -0.3909465
Ended 3763.883 206.2405 236 -0.3559248 -0.3909465
Candidates 3764.014 12 a as gas faa ass s aa da fda has ga aaa
Began 3764.343 417 158 0.1319444 -0.5915639
Stationary 3764.362 417 158 0.1319444 -0.5915639
Stationary 3764.376 417 158 0.1319444 -0.5915639
Moved 3764.391 417 195.947 0.1319444 -0.4939635
Moved 3764.408 426.6539 235.1071 0.1542915 -0.3932432
Moved 3764.424 427.5 275 0.15625 -0.2906379
Moved 3764.438 429.9475 306.7401 0.1619155 -0.209002
Moved 3764.454 432.0925 343.5728 0.1668809 -0.1142677
Ended 3764.469 442 389 0.1898148 0.002572016
Accept 3764.531 0 a
Began 3764.746 408 224 0.1111111 -0.4218107
Stationary 3764.762 408 224 0.1111111 -0.4218107
Stationary 3764.777 408 224 0.1111111 -0.4218107
Stationary 3764.792 408 224 0.1111111 -0.4218107
Moved 3764.808 397.0976 224 0.0858741 -0.4218107
Moved 3764.825 390.3701 224 0.07030129 -0.4218107
Moved 3764.84 383.2177 224 0.05374482 -0.4218107
Moved 3764.856 374.6085 224 0.033816 -0.4218107
Moved 3764.872 370.5926 224 0.02451996 -0.4218107
Moved 3764.886 364.2922 224 0.009935598 -0.4218107
Moved 3764.902 361.2679 224 0.002934833 -0.4218107
Moved 3764.917 358.3845 224 -0.003739546 -0.4218107
Moved 3764.931 356.7535 224 -0.007514954 -0.4218107
Stationary 3764.956 357 224 -0.006944438 -0.4218107
Stationary 3764.966 357 224 -0.006944438 -0.4218107
Stationary 3764.977 357 224 -0.006944438 -0.4218107
Stationary 3764.994 357 224 -0.006944438 -0.4218107
Moved 3765.009 364.9672 234.2435 0.01149803 -0.3954642
Moved 3765.024 374.122 240.9443 0.03268987 -0.3782296
Moved 3765.039 389.3237 250.1888 0.06787886 -0.3544526
Moved 3765.055 409.4063 260.2031 0.1143663 -0.3286957
Moved 3765.071 452.8048 284.9386 0.2148259 -0.2650758
Moved 3765.086 486.0966 303.0515 0.2918903 -0.218489
Moved 3765.102 513.2615 317.3481 0.3547721 -0.1817178
Moved 3765.117 526.5087 326.1301 0.3854369 -0.1591303
Moved 3765.133 545.0923 338.8331 0.4284544 -0.1264581
Moved 3765.148 557.8533 345.5689 0.4579939 -0.1091335
Moved 3765.163 569.607 351.8035 0.4852014 -0.09309799
Moved 3765.178 577.8425 355.9213 0.5042651 -0.08250711
Moved 3765.194 583.1559 358.578 0.5165647 -0.07567394
Moved 3765.209 590.9173 362.4586 0.5345307 -0.06569293
Moved 3765.225 596.9643 365.1857 0.5485284 -0.05867868
Moved 3765.24 602.0985 367.0328 0.5604132 -0.05392789
Moved 3765.256 604.9431 368.4716 0.5669978 -0.05022755
Moved 3765.271 606.8206 368.9103 0.571344 -0.04909899
Moved 3765.286 608.3528 370.3528 0.5748909 -0.04538877
Moved 3765.302 609.5 371.5 0.5775462 -0.04243827
Moved 3765.317 610.9072 371 0.5808036 -0.04372435
