we run the risk of failure
we run the risk of failure
Basic
0.6 0.6
432 388.8
Began 505.0527 210 396 -0.3472222 0.02057605
Stationary 505.0664 210 396 -0.3472222 0.02057605
Stationary 505.0771 210 396 -0.3472222 0.02057605
Stationary 505.0904 210 396 -0.3472222 0.02057605
Moved 505.1068 223.7944 396 -0.3152907 0.02057605
Moved 505.1224 241.054 411.6329 -0.2753379 0.0607841
Moved 505.1381 260.8778 416.2042 -0.2294495 0.07254145
Moved 505.1546 277.2271 420.8801 -0.191604 0.08456814
Moved 505.1702 289 424.5 -0.1643519 0.09387855
Moved 505.1847 298.0871 426.7391 -0.143317 0.09963758
Moved 505.2004 305.5619 428.3124 -0.1260141 0.103684
Moved 505.2159 310.2529 429.751 -0.1151553 0.1073842
Moved 505.2309 313.3837 430 -0.1079082 0.1080246
Moved 505.2456 315.6349 430.6348 -0.1026971 0.1096575
Moved 505.263 317.0751 431 -0.09936327 0.1105966
Moved 505.2766 318.5 431 -0.0960648 0.1105966
Moved 505.2916 319.6296 431 -0.09345005 0.1105966
Moved 505.3092 321.0708 431 -0.09011398 0.1105966
Stationary 505.3236 321.0708 431 -0.09011398 0.1105966
Moved 505.3378 322.374 431 -0.08709729 0.1105966
Moved 505.3621 323.1971 431 -0.08519192 0.1105966
Stationary 505.3731 323.1971 431 -0.08519192 0.1105966
Moved 505.3849 324.3734 431 -0.08246888 0.1105966
Stationary 505.3997 324.3734 431 -0.08246888 0.1105966
Moved 505.4146 325.2233 431 -0.08050163 0.1105966
Stationary 505.4303 325.2233 431 -0.08050163 0.1105966
Stationary 505.4454 325.2233 431 -0.08050163 0.1105966
Moved 505.4627 326.1863 431 -0.07827242 0.1105966
Stationary 505.4809 326.1863 431 -0.07827242 0.1105966
Stationary 505.4953 326.1863 431 -0.07827242 0.1105966
Stationary 505.5091 326.1863 431 -0.07827242 0.1105966
Moved 505.5221 327.0902 431 -0.07618015 0.1105966
Stationary 505.5378 327.0902 431 -0.07618015 0.1105966
Stationary 505.5545 327.0902 431 -0.07618015 0.1105966
