hands on experience with a job
hands on experience with a job
Basic
0.6 0.6
432 388.8
Began 550.6826 452 344 0.2129629 -0.1131688
Stationary 550.6989 452 344 0.2129629 -0.1131688
Stationary 550.7142 452 344 0.2129629 -0.1131688
Stationary 550.7281 452 344 0.2129629 -0.1131688
Moved 550.7427 430.468 344 0.1631203 -0.1131688
Moved 550.7583 399.0684 344 0.09043603 -0.1131688
Moved 550.7743 348.1161 353.6153 -0.02750893 -0.08843802
Moved 550.7902 304.2857 360.468 -0.1289684 -0.07081271
Moved 550.8057 276.2986 363.4113 -0.1937533 -0.06324273
Moved 550.822 240.7387 365.6256 -0.2760679 -0.05754738
Moved 550.8371 222.3154 366 -0.3187143 -0.05658444
Moved 550.8511 206.5299 366.4967 -0.3552549 -0.05530691
Moved 550.8661 195.3853 367 -0.3810525 -0.05401234
Moved 550.8819 185.3111 367 -0.4043725 -0.05401234
Moved 550.8981 176.8999 367 -0.4238429 -0.05401234
Moved 550.9155 173.0995 367 -0.4326401 -0.05401234
Moved 550.9287 167.4179 367 -0.445792 -0.05401234
Moved 550.9442 165.3304 367 -0.450624 -0.05401234
Moved 550.9616 163.727 367 -0.4543357 -0.05401234
Moved 550.9753 161.2882 367 -0.4599811 -0.05401234
Moved 550.9897 159.8592 367 -0.463289 -0.05401234
Stationary 551.006 159.8592 367 -0.463289 -0.05401234
Moved 551.0194 158.237 367 -0.467044 -0.05401234
Moved 551.0359 157.5 367 -0.46875 -0.05401234
Moved 551.0533 156.7178 367 -0.4705608 -0.05401234
Stationary 551.0699 157 367 -0.4699074 -0.05401234
Moved 551.0819 157 368.4399 -0.4699074 -0.05030879
Stationary 551.0974 157 368 -0.4699074 -0.05144041
Moved 551.1139 157 369.1607 -0.4699074 -0.04845505
Stationary 551.1287 157 369.1607 -0.4699074 -0.04845505
Stationary 551.1439 157 369.1607 -0.4699074 -0.04845505
Moved 551.1606 185.4594 369 -0.4040293 -0.04886839
Moved 551.1746 217.0927 369 -0.330804 -0.04886839
Moved 551.1906 257.5693 356.2668 -0.2371082 -0.08161819
Moved 551.2072 287.0554 346.451 -0.1688532 -0.1068647
Moved 551.221 312.5547 335.7535 -0.109827 -0.134379
Moved 551.2363 336.9135 324.276 -0.05344088 -0.1638992
Moved 551.2512 351.2196 315.2377 -0.02032499 -0.1871458
Moved 551.2678 370.3775 304.8113 0.02402196 -0.2139627
Moved 551.2828 384.6538 293.277 0.05706896 -0.2436292
Moved 551.2978 395.2442 285.6614 0.08158376 -0.2632166
Moved 551.3134 405.3303 277.0026 0.1049312 -0.2854871
Moved 551.3288 416.3954 269.1461 0.1305449 -0.3056942
Moved 551.3448 425.2655 260.7345 0.1510776 -0.327329
Moved 551.3604 431.3428 255.881 0.1651455 -0.3398123
Moved 551.376 438.9868 249.2666 0.1828397 -0.3568247
Moved 551.3911 444.7502 243.2498 0.1961811 -0.3723001
Moved 551.4134 451.0472 237.9529 0.2107574 -0.3859236
Stationary 551.4246 451.0472 237.9529 0.2107574 -0.3859236
Moved 551.4377 454.282 235.7179 0.2182455 -0.3916721
Moved 551.4534 455.0014 233.9971 0.2199107 -0.3960981
Moved 551.4689 456.1033 234 0.2224613 -0.3960905
Moved 551.4837 457.5 232.5 0.2256945 -0.3999486
Moved 551.498 458.0121 233 0.22688 -0.3986626
Moved 551.5139 458 231.5397 0.2268519 -0.4024186
