do you prefer a window seat
do you prefer a window seat
Basic
0.6 0.6
432 388.8
Began 686.6175 286 314 -0.1712963 -0.1903292
Stationary 686.6358 286 314 -0.1712963 -0.1903292
Stationary 686.652 286 314 -0.1712963 -0.1903292
Stationary 686.6677 286 314 -0.1712963 -0.1903292
Stationary 686.6813 286 314 -0.1712963 -0.1903292
Moved 686.6956 310.9222 339.2607 -0.1136059 -0.1253582
Moved 686.712 331.3586 356.0674 -0.06629959 -0.08213121
Moved 686.7281 351 371.5 -0.02083332 -0.04243827
Moved 686.7437 367.6652 384.0878 0.01774361 -0.01006221
Moved 686.7592 389.3865 400.0168 0.06802429 0.03090733
Moved 686.7754 404.7451 410.1634 0.1035766 0.05700456
Moved 686.7895 421.5234 419.7433 0.1424153 0.08164433
Moved 686.8046 441.6319 431.2182 0.1889626 0.1111578
Moved 686.8202 456.4576 440.0745 0.2232814 0.1339365
Moved 686.8358 466.9472 447.3909 0.247563 0.1527542
Moved 686.8511 471.3093 449.7856 0.2576604 0.1589135
Moved 686.8666 480.0228 455.4137 0.2778306 0.1733891
Moved 686.8822 485.9819 460.9819 0.2916248 0.1877106
Moved 686.8978 492.718 464.3589 0.3072175 0.1963964
Moved 686.9131 497.3329 467.2219 0.3179002 0.20376
Moved 686.9282 501.1122 469.5561 0.3266485 0.2097635
Moved 686.9437 503.9617 470.9809 0.3332447 0.2134282
Moved 686.9593 506.1613 473.1613 0.3383363 0.219036
Moved 686.9741 507.5447 474 0.3415386 0.2211934
Moved 686.9896 508.9834 474.9834 0.344869 0.2237227
Moved 687.0045 510.4182 475 0.3481901 0.2237653
Moved 687.02 511.5 476.5 0.3506944 0.2276234
Moved 687.0353 512.1467 477.1467 0.3521915 0.2292867
Stationary 687.0508 512.1467 477.1467 0.3521915 0.2292867
Stationary 687.065 512.1467 477.1467 0.3521915 0.2292867
Moved 687.0809 513.2225 477 0.3546818 0.2289094
Moved 687.0977 513 478 0.3541666 0.2314814
Moved 687.1123 514.1287 478 0.3567793 0.2314814
Ended 687.128 514 478 0.3564815 0.2314814
Candidates 687.2074 12 co shop cop ci cio chip ship gfp ago zoo vi cup
Began 688.1104 465 374 0.2430555 -0.03600823
Stationary 688.132 465 374 0.2430555 -0.03600823
Stationary 688.1456 465 374 0.2430555 -0.03600823
Ended 688.1611 465 374 0.2430555 -0.03600823
NextCandidatePanel 688.2205
Began 688.851 448 363 0.2037037 -0.06430049
Stationary 688.869 448 363 0.2037037 -0.06430049
Stationary 688.8843 448 363 0.2037037 -0.06430049
Stationary 688.8992 448 363 0.2037037 -0.06430049
Ended 688.9144 448 363 0.2037037 -0.06430049
NextCandidatePanel 688.9747
Began 689.6364 439 364 0.1828703 -0.06172839
Stationary 689.6563 439 364 0.1828703 -0.06172839
Stationary 689.6708 439 364 0.1828703 -0.06172839
Ended 689.6862 439 364 0.1828703 -0.06172839
NextCandidatePanel 689.73
Began 689.7609 427 373 0.1550926 -0.03858032
Stationary 689.7792 427 373 0.1550926 -0.03858032
Stationary 689.795 427 373 0.1550926 -0.03858032
Stationary 689.809 427 373 0.1550926 -0.03858032
Stationary 689.824 427 373 0.1550926 -0.03858032
Stationary 689.8405 427 373 0.1550926 -0.03858032
Ended 689.8549 427 373 0.1550926 -0.03858032
Cancel 689.9139
Began 690.3619 220 364 -0.3240741 -0.06172839
Stationary 690.3802 220 364 -0.3240741 -0.06172839
Stationary 690.3958 220 364 -0.3240741 -0.06172839
Stationary 690.4099 220 364 -0.3240741 -0.06172839
Stationary 690.4257 220 364 -0.3240741 -0.06172839
Stationary 690.4419 220 364 -0.3240741 -0.06172839
Stationary 690.4574 220 364 -0.3240741 -0.06172839
Stationary 690.4714 220 364 -0.3240741 -0.06172839
Moved 690.4874 228.3817 364 -0.3046719 -0.06172839
Moved 690.503 237.0142 372.4199 -0.2846895 -0.04007245
Moved 690.5184 249.4438 380.5106 -0.2559172 -0.01926281
Moved 690.5336 262.7763 389.5175 -0.2250549 0.003903039
Moved 690.549 276.7361 399.1574 -0.1927405 0.028697
Moved 690.5754 298.4065 411.2032 -0.1425775 0.05967901
Moved 690.5873 302.9051 414.4288 -0.1321642 0.06797531
Stationary 690.5985 302.9051 414.4288 -0.1321642 0.06797531
Moved 690.6102 308.6395 417.8198 -0.1188901 0.07669684
Moved 690.6261 313.0644 420.7096 -0.1086472 0.08412957
Moved 690.6419 316.5953 422.7977 -0.1004738 0.08950009
Moved 690.6567 319.4811 425.4811 -0.09379372 0.09640187
Moved 690.6717 323.3611 426.6805 -0.08481239 0.09948691
Moved 690.6873 325.1201 429.2403 -0.08074041 0.1060707
Moved 690.7032 327.3534 430.1767 -0.07557084 0.1084791
Moved 690.7185 330.3571 432.6786 -0.06861772 0.114914
Moved 690.7327 333.2345 435.2346 -0.06195709 0.121488
Moved 690.7486 336.121 438.121 -0.05527551 0.1289118
Moved 690.7651 339.993 439.9977 -0.04631246 0.1337388
Moved 690.7812 344.3338 444.3338 -0.03626441 0.1448914
Moved 690.7989 348.6349 448.7567 -0.026308 0.156267
Moved 690.8115 351.9314 451.9315 -0.01867726 0.1644327
Moved 690.8273 359.0192 457.6154 -0.002270391 0.1790518
Moved 690.8437 363.5459 461.5459 0.008208056 0.1891612
Moved 690.8574 369.1528 467.1528 0.02118707 0.2035823
Moved 690.8733 377.3746 472.9164 0.04021903 0.2184064
Moved 690.889 387.1801 481.0115 0.06291697 0.2392272
Moved 690.9033 397.8679 488.0424 0.08765717 0.2573107
Moved 690.9189 405.8419 494.0349 0.1061154 0.2727235
Moved 690.9343 415.2962 500.9258 0.1280005 0.290447
Moved 690.9492 424.4745 507.1961 0.1492466 0.3065743
Moved 690.9656 433.4622 513.3082 0.1700515 0.3222946
Moved 690.981 443.5 519 0.193287 0.3369341
Moved 690.9966 452.6801 523.84 0.2145372 0.3493827
Moved 691.0118 461.4062 528.2031 0.2347366 0.3606046
Moved 691.0278 468.1108 531.8665 0.2502564 0.370027
Moved 691.0423 473.7614 534.8807 0.2633366 0.3777794
Moved 691.0569 480.917 537.7668 0.2799005 0.3852026
Moved 691.0734 485.4701 541.6467 0.2904401 0.3951818
Moved 691.0899 491.0363 544.5181 0.3033246 0.4025671
Moved 691.1044 496.11 546.7033 0.3150694 0.4081874
Moved 691.1185 500.4386 550.4386 0.3250894 0.4177947
Moved 691.1356 504.5 551.5 0.3344907 0.4205247
Moved 691.1509 507.9759 552.6586 0.3425369 0.4235046
Moved 691.1669 512.3016 554.1005 0.35255 0.4272132
Moved 691.1826 516.5 555.5 0.3622685 0.4308127
Moved 691.196 518.9667 556.9834 0.3679785 0.434628
Moved 691.2117 521.8442 558.4221 0.3746394 0.4383284
Moved 691.2286 523.863 558.863 0.3793124 0.4394623
Moved 691.2438 525.3062 559 0.3826533 0.4398148
Moved 691.2587 526.3165 560.3165 0.3849919 0.4432007
Moved 691.274 526.8609 560 0.3862521 0.4423867
Stationary 691.2957 527 560 0.3865741 0.4423867
Stationary 691.3065 527 560 0.3865741 0.4423867
Ended 691.3194 527 560 0.3865741 0.4423867
Candidates 691.3617 12 so do sp dip ap di stop ago soup ai du atp
Began 692.0605 445 380 0.1967593 -0.02057613
Stationary 692.0753 445 380 0.1967593 -0.02057613
Stationary 692.0897 445 380 0.1967593 -0.02057613
Moved 692.1053 435.1681 380 0.1740001 -0.02057613
