they might find your comment offensive
they might find your comment offensive
FixStart
0.6 0.6
432 326.4
Began 1040.83 424 368 0.1481481 0
Stationary 1040.918 424 368 0.1481481 0
Stationary 1040.96 424 368 0.1481481 0
Stationary 1041.001 424 368 0.1481481 0
Stationary 1041.044 424 368 0.1481481 0
Stationary 1041.089 424 368 0.1481481 0
Stationary 1041.129 424 368 0.1481481 0
Stationary 1041.174 424 368 0.1481481 0
Stationary 1041.22 424 368 0.1481481 0
Moved 1041.263 394.1131 368 0.07896551 0
Moved 1041.309 351.1753 359.5146 -0.02042751 -0.02599698
Moved 1041.357 285.172 359 -0.173213 -0.02757344
Moved 1041.401 245.4599 359 -0.2651392 -0.02757344
Moved 1041.445 210.5835 359 -0.3458715 -0.02757344
Moved 1041.498 186.5782 359 -0.4014394 -0.02757344
Moved 1041.542 167.6304 359 -0.4453 -0.02757344
Moved 1041.606 149.9667 366 -0.4861881 -0.006127451
Moved 1041.651 140.0151 366 -0.5092243 -0.006127451
Moved 1041.694 132.6996 367 -0.5261585 -0.003063632
Moved 1041.738 127.7419 367 -0.5376345 -0.003063632
Moved 1041.781 120.8814 368 -0.5535153 0
Moved 1041.824 113.3395 368 -0.5709735 0
Ended 1041.866 112.5 368 -0.5729167 0
Delete 1041.906
Began 1043.263 440 325 0.1851852 -0.1317402
Stationary 1043.312 440 325 0.1851852 -0.1317402
Stationary 1043.354 440 325 0.1851852 -0.1317402
Moved 1043.396 414.5816 325 0.1263463 -0.1317402
Moved 1043.438 379 325 0.04398147 -0.1317402
Moved 1043.48 274.0279 325 -0.1990094 -0.1317402
Moved 1043.526 212.3369 325 -0.3418127 -0.1317402
Moved 1043.57 171.6924 335.0439 -0.4358972 -0.1009683
Moved 1043.616 148.8865 336.0189 -0.4886887 -0.09798135
Moved 1043.659 131.7505 338.3124 -0.5283554 -0.09095473
Moved 1043.702 123 339 -0.548611 -0.08884795
Moved 1043.744 117.7498 339 -0.5607643 -0.08884795
Ended 1043.786 114.5 339 -0.568287 -0.08884795
Delete 1043.831
Began 1044.063 450 367 0.2083333 -0.003063632
Stationary 1044.11 450 367 0.2083333 -0.003063632
