id,mode,cand,block,phrase,Gesture,Select,Cancel,Delete,Prepare
1,FixStart,Radial,1,1,6.60402,6.17395,0,0,1.04455
1,FixStart,Radial,1,2,5.16042,4.14682,0,0,0.76802
1,FixStart,Radial,1,3,5.43705,3.34829,0,0,0.70648
1,FixStart,Radial,1,4,3.8705,2.58041,0,0,0.4301
1,FixStart,Radial,1,5,4.66932,4.14714,0,0.553,1.07518
1,FixStart,Radial,1,6,5.00745,3.7172,0,0,0.64515
1,FixStart,Radial,1,7,4.02448,2.64203,0,0,0.46081
1,FixStart,Radial,1,8,5.3148,4.3932,0,0,0.676
1,FixStart,Radial,1,9,2.6727,3.9018,0,0,0.6453
1,FixStart,Radial,1,10,5.8987,3.5944,0,0,0.9219
1,FixStart,Radial,2,11,4.9464,3.7176,0,0,0.676
1,FixStart,Radial,2,12,3.6558,3.6562,0,0,0.7375
1,FixStart,Radial,2,13,4.1785,2.7654,0,0,0.553
1,FixStart,Radial,2,14,5.807,2.7652,0,0,0.7375
1,FixStart,Radial,2,15,4.1784,3.5336,0,0,0.799
1,FixStart,Radial,2,16,3.8713,2.4122,0,0,0.3994
1,FixStart,Radial,2,17,4.6398,3.5028,0,0,0.7374
1,FixStart,Radial,2,18,4.6707,4.7933,0,0,0.9524
1,FixStart,Radial,2,19,4.1481,3.165,0,0,0.6453
1,FixStart,Radial,2,20,4.3632,3.6567,0,0,1.1678
1,FixStart,Radial,3,21,5.224,3.7184,0,0,0.6451
1,FixStart,Radial,3,22,3.4417,3.1804,0,0,0.7067
1,FixStart,Radial,3,23,4.7938,4.7938,0,0,1.0756
1,FixStart,Radial,3,24,4.2406,4.0256,0,0,0.6761
1,FixStart,Radial,3,25,4.7631,3.1957,0,0,0.7378
1,FixStart,Radial,3,26,4.1791,3.9027,0,0,0.707
1,FixStart,Radial,3,27,7.2828,6.3612,0,0,1.1681
1,FixStart,Radial,3,28,2.397,2.2895,0,0,0.5223
1,FixStart,Radial,3,29,6.7301,4.3948,0,0,0.9834
1,FixStart,Radial,3,30,4.7325,3.5343,0,0,0.8298
1,FixStart,Radial,4,31,5.1018,3.3192,0,0,0.5837
1,FixStart,Radial,4,32,4.3023,3.5343,0,0,0.6762
1,FixStart,Radial,4,33,4.1797,2.2743,0,0,0.4916
1,FixStart,Radial,4,34,3.5648,2.8275,0,0,0.6454
1,FixStart,Radial,4,35,5.6547,5.3474,0.3995,0,1.629
1,FixStart,Radial,4,36,5.0093,5.2556,0,0.7069,1.2909
1,FixStart,Radial,4,37,5.5013,3.2885,0,0,0.6147
1,FixStart,Radial,4,38,4.8866,4.7331,0,0,1.045
1,FixStart,Radial,4,39,3.6266,4.3948,0,0,0.7994
1,FixStart,Radial,4,40,6.6387,2.9199,0,0,0.584
1,Basic,Radial,1,1,4.2403,5.8689,2.5503,0,1.7206
1,Basic,Radial,1,2,3.9024,3.2571,0,0,0.7374
1,Basic,Radial,1,3,4.4246,5.1315,2.0894,0,1.5978
1,Basic,Radial,1,4,4.2099,3.7179,0,0,0.891
1,Basic,Radial,1,5,5.6543,8.1427,1.3214,0.6454,2.3656
1,Basic,Radial,1,6,5.7154,3.6873,0,0,0.7067
1,Basic,Radial,1,7,4.4862,4.732,0.8604,0,1.2292
1,Basic,Radial,1,8,3.5952,3.073,1.2291,0,1.7514
1,Basic,Radial,1,9,2.7349,4.763,0,0,0.9834
1,Basic,Radial,1,10,4.8244,3.626,1.1678,0,0.9219
1,Basic,Radial,2,11,4.671,4.456,1.998,0,1.568
1,Basic,Radial,2,12,7.838,6.086,1.321,0.86,2.151
1,Basic,Radial,2,13,4.119,4.947,3.012,0,1.445
